name,moh_area
Kathiravely,Koralai Pattu North
Ammanthanavely,Koralai Pattu North
Puchchakerny,Koralai Pattu North
Palchenai,Koralai Pattu North
Vakarai North,Koralai Pattu North
Uriyankaddu,Koralai Pattu North
Kaddumurivu,Koralai Pattu North
Vakarai Central,Koralai Pattu North
Panichchankerni,Koralai Pattu North
Mathurankernikulam,Koralai Pattu North
Punanai East,Koralai Pattu North
Kirmichai,Koralai Pattu North
Mankerny Central,Koralai Pattu North
Mankerny South,Koralai Pattu North
Kayankerny,Koralai Pattu North
Vattavan,Koralai Pattu North
Paper Town,Koralai Pattu West (Oddamavadi)
Oddamavadi 01 North,Koralai Pattu West (Oddamavadi)
Oddamavadi 01 South,Koralai Pattu West (Oddamavadi)
Oddamavadi  02,Koralai Pattu West (Oddamavadi)
Oddamavadi 03,Koralai Pattu West (Oddamavadi)
Meeravodai Muslim West,Koralai Pattu West (Oddamavadi)
Meeravodai  Muslim  East,Koralai Pattu West (Oddamavadi)
Mancholai,Koralai Pattu West (Oddamavadi)
Nasivanthivu - 205C,Koralai Pattu (Valachchenai)
Valaichenai Tamil,Koralai Pattu (Valachchenai)
Puthukudiyiruppu,Koralai Pattu (Valachchenai)
Pethalai,Koralai Pattu (Valachchenai)
Kalkuda,Koralai Pattu (Valachchenai)
Kalmadu,Koralai Pattu (Valachchenai)
Kannagipuram,Koralai Pattu (Valachchenai)
Kumburumoolai,Koralai Pattu (Valachchenai)
Sungankerny,Koralai Pattu (Valachchenai)
Kanniyadi                  #,Koralai Pattu (Valachchenai)
Karuwakerni,Koralai Pattu (Valachchenai)
Meeravodai Tamil,Koralai Pattu (Valachchenai)
Siththandi 3,Eravur Pattu
Siththandi 2,Eravur Pattu
Siththandi 4,Eravur Pattu
Siththandi  I,Eravur Pattu
Mavadivembu 2,Eravur Pattu
Mavadivembu I,Eravur Pattu
Kaluvankerny I,Eravur Pattu
Kaluwankerny 2,Eravur Pattu
Thalavai,Eravur Pattu
Iyankerny,Eravur Pattu
Kommathurai North,Eravur Pattu
Palachcholai,Eravur Pattu
Vantharumoolai East,Eravur Pattu
Vantharumoolai West,Eravur Pattu
Eralakkulam,Eravur Pattu
Mayilavaddavan,Eravur Pattu
Koduwamadu,Eravur Pattu
Kommathurai West,Eravur Pattu
Kommathurai East,Eravur Pattu
Chenkalady 2,Eravur Pattu
Chenkalady 1,Eravur Pattu
Eravur 4,Eravur Pattu
Savukkady,Eravur Pattu
Thannamunai,Eravur Pattu
Mylampavely,Eravur Pattu
Arumugathan Kudiyiruppu 2,Eravur Pattu
ArumugathanKudiruppu 1,Eravur Pattu
Kumaraveliar Kiramam,Eravur Pattu
Pankudahvely,Eravur Pattu
Veppavedduwan,Eravur Pattu
Karadiyanaru,Eravur Pattu
Marappalam,Eravur Pattu
Kithulwewa,Eravur Pattu
Urugamam,Eravur Pattu
Koppavely,Eravur Pattu
Periya pullumalai,Eravur Pattu
Gamunupura,Eravur Pattu
Eravur 5,Eravur Pattu
Ellainagar,Eravur Pattu
Eravur 02A   ,Eravur Town
Meerakerny,Eravur Town
Eravur 03,Eravur Town
Eravur 03A,Eravur Town
Eravur 02,Eravur Town
Eravur 02B,Eravur Town
Eravur 02C,Eravur Town
Eravur 01B,Eravur Town
Eravur 01,Eravur Town
Eravur 01A,Eravur Town
Eravur 06A,Eravur Town
Eravur 06D,Eravur Town
Eravur 06,Eravur Town
Mich Nagar,Eravur Town
Iyankerny,Eravur Town
Palameenmadu,Manmunai North
Navalady,Manmunai North
Amirthakali,Manmunai North
Punnachcholai,Manmunai North
Thiraimadu,Manmunai North
Saththurukondan,Manmunai North
Panichchayadi,Manmunai North
Kokkuvil,Manmunai North
Sinna Urane,Manmunai North
Jayanthipuram,Manmunai North
Karuweppankeney,Manmunai North
Mamagam,Manmunai North
Koolavady,Manmunai North
Koolavadi East,Manmunai North
Thamaraikerny,Manmunai North
Periya Uppodai,Manmunai North
Datch Bar,Manmunai North
Thissaveerasingam Squre,Manmunai North
Iruthayapuram East,Manmunai North
Iruthayapuram Central,Manmunai North
Iruthayapuram West,Manmunai North
Periya Urani,Manmunai North
Gnasooriyam Squre,Manmunai North
Veddukkadu,Manmunai North
Barathypuram,Manmunai North
Thandavanvely,Manmunai North
Arasady,Manmunai North
Koddamunai,Manmunai North
Kallady Mugathuvaram,Manmunai North
Thiruchchenthur,Manmunai North
Kallady,Manmunai North
Kallady Veloor,Manmunai North
Kallady Uppodai,Manmunai North
Puliyanthivu East,Manmunai North
Puliyanthivu Central,Manmunai North
Puliyanthivu West,Manmunai North
Puliyanthivu South,Manmunai North
Thirupperunthurai,Manmunai North
Puthunagar,Manmunai North
Sethukudah,Manmunai North
Veechikalmunai,Manmunai North
Thimilathivu,Manmunai North
Nochchimunai,Manmunai North
Navatkudah,Manmunai North
Navatkudah East,Manmunai North
Navatkudah South,Manmunai North
Manjanthoduvai North,Manmunai North
Manjanthoduvai South,Manmunai North
Narippulthoddam,Manmunai West
Mahilavedduvan,Manmunai West
Karaveddy,Manmunai West
Vilavedduwan,Manmunai West
Navatkadu,Manmunai West
Eachchantheivu,Manmunai West
Mankikaddu,Manmunai West
Vavunatheivu,Manmunai West
Ayithiyamalai South,Manmunai West
Ayithiyamalai North,Manmunai West
Nediyamadu,Manmunai West
Pavakkodichenai,Manmunai West
Kurinchamunai,Manmunai West
Paruthichenai,Manmunai West
Kannankudah,Manmunai West
Mandapathady,Manmunai West
Karayakkanteivu,Manmunai West
Puthumandapathady,Manmunai West
Kanthinagar,Manmunai West
Unnichchei,Manmunai West
Panchenai,Manmunai West
Ilupadichenai,Manmunai West
Kothiyapulai,Manmunai West
Kanchirankudah,Manmunai West
Kattankudy Division 1,Kattankudy
Kattankudy 1 south,Kattankudy
Kattankudy 2,Kattankudy
Kattankudy 2 North,Kattankudy
New Kattankudy Div. North,Kattankudy
New Kattankudy South,Kattankudy
Kattankudy 3 East,Kattankudy
Kattankudy 3,Kattankudy
165 A Div.3 West Kattankudy,Kattankudy
Kattankudy 4 West,Kattankudy
"Division 04, Kattankudy",Kattankudy
Kattankudy 6 south,Kattankudy
New Kattankudy West,Kattankudy
New Kattankudy East,Kattankudy
Kattankudy Division 6 South,Kattankudy
Kattankudy 6 west,Kattankudy
Kattankudy 5,Kattankudy
"Div.05, South Kattankudy",Kattankudy
Kirankulam North,Manmunai Pattu (Arayampathy
Kirankulam South,Manmunai Pattu (Arayampathy
Kirankulam,Manmunai Pattu (Arayampathy
Kirankulam Central,Manmunai Pattu (Arayampathy
Puthukudiyiruppu,Manmunai Pattu (Arayampathy
Puthukudiyiruppu South,Manmunai Pattu (Arayampathy
Puthukudiyiruppu North,Manmunai Pattu (Arayampathy
Palamunai,Manmunai Pattu (Arayampathy
Thalankudah,Manmunai Pattu (Arayampathy
Manmunai,Manmunai Pattu (Arayampathy
Vedarkudiyiruppu,Manmunai Pattu (Arayampathy
Mavilankanthurai,Manmunai Pattu (Arayampathy
Kankeyanodai,Manmunai Pattu (Arayampathy
Ollikulam,Manmunai Pattu (Arayampathy
Kankeyanodai South,Manmunai Pattu (Arayampathy
Araipatti 03,Manmunai Pattu (Arayampathy
Rajathurai Gramam,Manmunai Pattu (Arayampathy
