name,moh_area
Sammanthranapura,Colombo
Mattakkuliya,Colombo
Modara,Colombo
Madampitiya,Colombo
Mahawatta,Colombo
Aluthmawatha,Colombo
Lunupokuna,Colombo
Bloemendhal,Colombo
Kotahena East,Colombo
Kotahena West,Colombo
Kochchikade North,Colombo
Jinthupitiya,Colombo
Massangar Street,Colombo
New Bazaar,Colombo
Grandpass South,Colombo
Grandpass North,Colombo
Nawagampura,Colombo
Maligawatta East,Colombo
Kettarama,Colombo
Aluthkade East,Colombo
Aluthkade West,Colombo
Kochchikade South,Colombo
Pettah,Colombo
Fort,Colombo
Galle Face,Colombo
Slave Island,Colombo
Hunupitiya,Colombo
Suduwella,Colombo
Keselwatta,Colombo
Panchikawatta,Colombo
Maligawatta West,Colombo
Maligakanda,Colombo
Maradana,Colombo
Ibbanwala,Colombo
Wekanda,Colombo
Wadulla,Kolonnawa
Sedawatta,Kolonnawa
Halmulla,Kolonnawa
Kotuvila,Kolonnawa
Veheragoda,Kolonnawa
Orugodawatta,Kolonnawa
Meethotamulla,Kolonnawa
Welewaththa,Kolonnawa
Kiththampahuwa,Kolonnawa
Wennawatta,Kolonnawa
Mahabuthgamuwa B,Kolonnawa
Kuda Buthgamuwa,Kolonnawa
Kelanimulla,Kolonnawa
Ambathale,Kolonnawa
Mulleriyawa North,Kolonnawa
Belagama,Kolonnawa
Kotikawatta East,Kolonnawa
Maha Buthgamuwa A,Kolonnawa
Maha Buthgamuwa C,Kolonnawa
Wellampitiya,Kolonnawa
Kuriniyawatta,Kolonnawa
Kolonnawa,Kolonnawa
Dahampura,Kolonnawa
Singhapura,Kolonnawa
Megoda Kolonnawa,Kolonnawa
Bopeththa,Kolonnawa
Batalandahena,Kolonnawa
Kotikawatta West,Kolonnawa
Mulleriyawa South,Kolonnawa
Malgama,Kolonnawa
Udumulla North,Kolonnawa
Maligagodella,Kolonnawa
Rajasinghagama,Kolonnawa
Udumulla South,Kolonnawa
Himbutana East,Kolonnawa
Himbutana West,Kolonnawa
Malpura,Kolonnawa
Gothatuwa New Town,Kolonnawa
Kajugahawatta,Kolonnawa
Gothatuwa,Kolonnawa
Salamulla,Kolonnawa
Wijayapura,Kolonnawa
Gajabapura,Kolonnawa
Madinnagoda,Kolonnawa
Elhena,Kolonnawa
Dodamgahahena,Kolonnawa
Welivita,Kaduwela
Raggahawatta,Kaduwela
Hewagama,Kaduwela
Kaduwela,Kaduwela
Pahala Bomiriya,Kaduwela
Ihala Bomiriya,Kaduwela
Wekewatta,Kaduwela
Nawagamuwa,Kaduwela
Pahala Bomiriya B,Kaduwela
Welihinda,Kaduwela
Kothalawala,Kaduwela
Mahadeniya,Kaduwela
Thalahena North,Kaduwela
Malabe North,Kaduwela
Thunadahena,Kaduwela
Korathota,Kaduwela
Nawagamuwa South,Kaduwela
Batewela,Kaduwela
Ranala,Kaduwela
Dedigamuwa,Kaduwela
Embilladeniya,Kaduwela
Welipillewa,Kaduwela
Shanthalokagama,Kaduwela
Pore,Kaduwela
Malabe East,Kaduwela
Malabe West,Kaduwela
Thalangama North B,Kaduwela
Thalahena South,Kaduwela
Muttettugoda,Kaduwela
Thalangama North A,Kaduwela
Walpola,Kaduwela
Kalapaluwawa,Kaduwela
Kotuwegoda,Kaduwela
Subhoothipura,Kaduwela
Udumulla,Kaduwela
Battaramulla North,Kaduwela
Batapotha,Kaduwela
Pothuarawa,Kaduwela
Hokandara North,Kaduwela
Oruwala,Kaduwela
Athurugiriya,Kaduwela
Thaldiyawala,Kaduwela
Boralugoda,Kaduwela
Hokandara East,Kaduwela
Arangala,Kaduwela
Evarihena,Kaduwela
Kumaragewatta,Kaduwela
Jayawadanagama,Kaduwela
Aruppitiya,Kaduwela
Asiri Uyana,Kaduwela
Battaramulla South,Kaduwela
Rajamalwatta,Kaduwela
Pahalawela,Kaduwela
Wickramasinghapura,Kaduwela
Wellangiriya,Kaduwela
Hokandara South,Kaduwela
Athurugiriya South,Kaduwela
Jalthara,Homagama
Henpita,Homagama
Atigala West,Homagama
Atigala East,Homagama
Batawala,Homagama
Walpita,Homagama
Nawalamulla,Homagama
Meegasmulla,Homagama
Habarakada North,Homagama
Mullegama North,Homagama
Mullegama South,Homagama
Habarakada South,Homagama
Panagoda Town,Homagama
Henawatta,Homagama
Meegoda North,Homagama
Panaluwa,Homagama
Watareka North,Homagama
Meegoda South,Homagama
Godagama North,Homagama
Panagoda West,Homagama
Panagoda East,Homagama
Habarakada Watta,Homagama
Homagama North,Homagama
Homagama West,Homagama
Homagama South,Homagama
Galavilawatta North,Homagama
Homagama Town,Homagama
Homagama East,Homagama
Pitipana Town,Homagama
Godagama South,Homagama
Kurunduwatta,Homagama
Gehenuwala,Homagama
Watareka South,Homagama
Ovitigama,Homagama
Kandhanawatta,Homagama
Kiriberiyakele,Homagama
Mawathagama,Homagama
Katuwana,Homagama
Galavilawatta South,Homagama
Niyadagala,Homagama
Hiripitiya,Homagama
Mambulgoda,Homagama
Kithulhena,Homagama
Siddamulla North,Homagama
Siddamulla South,Homagama
Mattegoda West,Homagama
Mattegoda Central  A,Homagama
Mattegoda East,Homagama
Brahmanagama,Homagama
Deepangoda,Homagama
Magammana West,Homagama
Magammana East,Homagama
Uduwana,Homagama
Prasannapura,Homagama
Pitipana North,Homagama
Suwapubudugama,Homagama
Pitipana South,Homagama
Dolahena,Homagama
Diyagama East,Homagama
Diyagama West,Homagama
Kirigampamunuwa,Homagama
Mattegoda Central B,Homagama
Siyambalagoda North,Homagama
Kudamaduwa,Homagama
Sangarama,Homagama
Siyambalagoda South,Homagama
Rilawala,Homagama
Kahathuduwa West,Homagama
Kiriwattuduwa South,Homagama
Kiriwattuduwa North,Homagama
Moonamale - Yakahaluwa,Homagama
Kithulavila,Homagama
Kahathuduwa North,Homagama
Kahathuduwa East,Homagama
Kahathuduwa South,Homagama
Undurugoda,Homagama
Wethara,Homagama
Ambalangoda,Homagama
Heraliyawala,Homagama
Palagama,Homagama
Weniwelkola,Homagama
Bollathawa,Hanwella
Kanampella West,Hanwella
Kanampella East,Hanwella
Manakada,Hanwella
Eswatta North,Hanwella
Kiriwandala North,Hanwella
Kudagama,Hanwella
Weralupitiya,Hanwella
Seethagama,Hanwella
Avissawella,Hanwella
Ukwatta,Hanwella
Agra place,Hanwella
Eswatta South,Hanwella
Ihala Kosgama North,Hanwella
Thawalgoda,Hanwella
Muruthagama,Hanwella
Akaravita,Hanwella
Kahatapitiya,Hanwella
Kalu Aggala,Hanwella
Salawa,Hanwella
Pahala Kosagama West,Hanwella
Pahala Kosgama East,Hanwella
Ihala Kosgama South,Hanwella
Miriswatta,Hanwella
Aluth Ambalama,Hanwella
Kiriwandala South,Hanwella
Kotahera,Hanwella
Seethawaka,Hanwella
Aradhana Kanda,Hanwella
Puwakpitiya South,Hanwella
Puwakpitiya,Hanwella
Egodagama,Hanwella
Weragolla North,Hanwella
Hingurala,Hanwella
Kadugoada North,Hanwella
Mawalgama,Hanwella
Suduwella,Hanwella
Gira Imbula,Hanwella
Walauwathta,Hanwella
Pahala Hanwella,Hanwella
Hanwella Town,Hanwella
Ihala Hanwella North,Hanwella
Niripola,Hanwella
Brandigampala,Hanwella
Kadugoda South,Hanwella
Weragolla South,Hanwella
Digana,Hanwella
Lahirugama,Hanwella
Mabula,Hanwella
Welikanna,Hanwella
Kahahena,Hanwella
Neluwattuduwa,Hanwella
Diddeniya North,Hanwella
Ihala Hanwella South,Hanwella
Pahathgama,Hanwella
Jayaweeragoda,Hanwella
Koodaluvila,Hanwella
Thunnana East,Hanwella
Diddeniya South,Hanwella
Elamalawala,Hanwella
Ilukovita,Hanwella
Koswatta,Hanwella
Pagnagula,Hanwella
Pelpola,Hanwella
Kudakanda,Hanwella
Thunnana West,Hanwella
Mawathagama West,Hanwella
Mawathagama East,Hanwella
Pinnawala North,Padukka
Pinnawala South,Padukka
Waga North,Padukka
Waga East,Padukka
Thummodara,Padukka
Waga South,Padukka
Siyambalawa,Padukka
Pahala Bope,Padukka
Halpe,Padukka
Waga West,Padukka
Uggalla,Padukka
Wewelpanawa,Padukka
Pitumpe North,Padukka
Pitumpe South,Padukka
Galagedara East,Padukka
Galagedara North,Padukka
Galagedara South,Padukka
Padukka,Padukka
Arukwatta North,Padukka
Arukwatta South,Padukka
Ganegoda,Padukka
Angampitiya,Padukka
Weragala,Padukka
Angamuwa,Padukka
Udumulla,Padukka
Poregedara,Padukka
Pahala Padukka,Padukka
Liyanwala,Padukka
Kurugala,Padukka
Madulawa South,Padukka
Madulawa North,Padukka
Horakandawala,Padukka
Dampe,Padukka
Beruketiya,Padukka
Horagala West,Padukka
Horagala East,Padukka
Beliattavila,Padukka
Miriyagalla,Padukka
Malagala,Padukka
Kahawala,Padukka
Yatawathura,Padukka
Mahingala,Padukka
Ihala Bope,Padukka
Gurulana,Padukka
Udagama,Padukka
Dabora,Padukka
Mirihana South,Maharagama
Mirihana North,Maharagama
Madiwela,Maharagama
Thalawathugoda West,Maharagama
Thalawathugoda East,Maharagama
Kalalgoda,Maharagama
Kottawa East,Maharagama
Rukmale West,Maharagama
Rukmale East A,Maharagama
Rukmale East B,Maharagama
Liyanagoda,Maharagama
Kottawa North,Maharagama
Depanama,Maharagama
Polwatta,Maharagama
Pamunuwa,Maharagama
Thalapathpitiya,Maharagama
Pragathipura,Maharagama
Udahamulla East,Maharagama
Udahamulla West,Maharagama
Pathiragoda,Maharagama
Maharagama East,Maharagama
Maharagama West,Maharagama
Dambahena,Maharagama
Pannipitiya North,Maharagama
Kottawa West,Maharagama
Kottawa South,Maharagama
Malapalla West,Maharagama
Malapalla East,Maharagama
Makumbura North,Maharagama
Makumbura South,Maharagama
Kottawa Town,Maharagama
Pannipitiya South,Maharagama
Maharagama Town,Maharagama
Godigamuwa South,Maharagama
Godigamuwa South B,Maharagama
Godigamuwa North,Maharagama
Wattegedara,Maharagama
Navinna,Maharagama
Wijerama,Maharagama
Gangodavila South B,Maharagama
Jambugasmulla,Maharagama
Obesekarapura,Sri Jayawardanapura Kotte
Welikada West,Sri Jayawardanapura Kotte
Welikada East,Sri Jayawardanapura Kotte
Rajagiriya,Sri Jayawardanapura Kotte
Welikada North,Sri Jayawardanapura Kotte
Nawala West,Sri Jayawardanapura Kotte
Koswatta,Sri Jayawardanapura Kotte
Ethulkotte West,Sri Jayawardanapura Kotte
Ethulkotte,Sri Jayawardanapura Kotte
Pitakotte East,Sri Jayawardanapura Kotte
Pitakotte,Sri Jayawardanapura Kotte
Pitakotte West,Sri Jayawardanapura Kotte
Nawala  East,Sri Jayawardanapura Kotte
Nugegoda West,Sri Jayawardanapura Kotte
Pagoda,Sri Jayawardanapura Kotte
Nugegoda,Sri Jayawardanapura Kotte
Pagoda East,Sri Jayawardanapura Kotte
Gangodavila North,Sri Jayawardanapura Kotte
Gangodavila South,Sri Jayawardanapura Kotte
Gangodavila East,Sri Jayawardanapura Kotte
Kollupitiya,Thimbirigasyaya
Bambalapitiya,Thimbirigasyaya
Kurunduwatta,Thimbirigasyaya
Kuppiyawatta West,Thimbirigasyaya
Kuppiyawatta East,Thimbirigasyaya
Dematagoda,Thimbirigasyaya
Wanathamulla,Thimbirigasyaya
Borella North,Thimbirigasyaya
Borella South,Thimbirigasyaya
Gothamipura,Thimbirigasyaya
Narahenpita,Thimbirigasyaya
Thimbirigasyaya,Thimbirigasyaya
Milagiriya,Thimbirigasyaya
Havelock Town,Thimbirigasyaya
Kirula,Thimbirigasyaya
Kirulapone,Thimbirigasyaya
Wellawatta North,Thimbirigasyaya
Wellawatta South,Thimbirigasyaya
Pamankada West,Thimbirigasyaya
Pamankada East,Thimbirigasyaya
Sri Saranankara,Dehiwala-Mount Lavinia
Vilawala,Dehiwala-Mount Lavinia
Dutugemunu,Dehiwala-Mount Lavinia
Kohuwala,Dehiwala-Mount Lavinia
Kalubowila,Dehiwala-Mount Lavinia
Hathbodhiya,Dehiwala-Mount Lavinia
Galwala,Dehiwala-Mount Lavinia
Dehiwala West,Dehiwala-Mount Lavinia
Dehiwala East,Dehiwala-Mount Lavinia
Udyanaya,Dehiwala-Mount Lavinia
Nedimala,Dehiwala-Mount Lavinia
Malwatta,Dehiwala-Mount Lavinia
Jayathilaka,Dehiwala-Mount Lavinia
Karagampitiya,Dehiwala-Mount Lavinia
Kawdana East,Dehiwala-Mount Lavinia
Kawdana West,Ratmalana
Watarappala,Ratmalana
Wathumulla,Ratmalana
Katukurunduwatta,Ratmalana
Attidiya North,Ratmalana
Attidiya South,Ratmalana
Piriwena,Ratmalana
Wedikanda,Ratmalana
Vihara,Ratmalana
Rathmalana West,Ratmalana
Rathmalana East,Ratmalana
Kandawala,Ratmalana
Angulana North,Moratuwa
Kaldemulla,Moratuwa
Soysapura North,Moratuwa
Soysapura South,Moratuwa
Dahampura,Moratuwa
Thelawala North,Moratuwa
Borupana,Moratuwa
Thelawala South,Moratuwa
Lakshapathiya North,Moratuwa
Lakshapathiya Central,Moratuwa
Angulana South,Moratuwa
Uyana South,Moratuwa
Uyana North,Moratuwa
Rawathawatta South,Moratuwa
Rawathawatta East,Moratuwa
Lakshapathiya South,Moratuwa
Kuduwamulla,Moratuwa
Katubedda,Moratuwa
Molpe,Moratuwa
Moratumulla North,Moratuwa
