name,moh_area
Kammalthura,Negombo
Pallansena North,Negombo
Kochchikade,Negombo
Pallansena South,Negombo
Daluwakotuwa,Negombo
Palangathure,Negombo
Ettukala,Negombo
Daluwakotuwa East,Negombo
Kattuwa,Negombo
Dalupotha East,Negombo
Dalupotha,Negombo
Kudapaduwa,Negombo
Kudapaduwa North,Negombo
Kudapaduwa South,Negombo
Wella Weediya,Negombo
Wella Weediya East,Negombo
Periyamulla,Negombo
Hunupitiya,Negombo
Angurukaramulla,Negombo
Udayarthoppuwa,Negombo
Wella Weediya South,Negombo
Munnakkarai North,Negombo
Doowa,Negombo
Pitipana North,Negombo
Pitipana Central,Negombo
Munnakkaraya,Negombo
Munnakkarai East,Negombo
Thaladuwa,Negombo
Udayarthoppuwa South,Negombo
Bolawalana,Negombo
Kurana West,Negombo
Kurana East,Negombo
Siriwardana Pedesa,Negombo
South Pitipana East,Negombo
Pitipana South,Negombo
Thalahena,Negombo
Dungalpitiya,Negombo
Seththappaduwa,Negombo
Kepungoda,Negombo
Muruthana,Katana
Manaveriya,Katana
Udangawa,Katana
Thoppuwa,Katana
Bambukuliya,Katana
Katana North,Katana
Katana East,Katana
Katana West,Katana
Maha Ethgala,Katana
Ethgala,Katana
Adikkandiya,Katana
Welihena North,Katana
Welihena South,Katana
Pahala Kandawala,Katana
Ethgala South,Katana
Ihala Kandawala,Katana
Kaluwarippuwa West,Katana
Kondagammulla,Katana
Katiyala,Katana
Kadirana North,Katana
K.C. De Silvapura,Katana
Thimbirigaskatuwa,Katana
Sellakanda,Katana
Katuwapitiya,Katana
Mahahunupitiya West,Katana
Mahahunupitiya East,Katana
Pahala Kadirana,Katana
Kadirana,Katana
Akkara 50,Katana
Kadirana South,Katana
Kimbulapitiya West,Katana
Kimbulapitiya North,Katana
Kimbulapitiya South,Katana
Kimbulapitiya Central,Katana
Andiambalama West,Katana
Walpola,Katana
Andiambalama East,Katana
Dewamottawa,Katana
Kovinna,Katana
Evariwatta,Katana
Air Force Camp,Katana
Kurana Katunayaka Central,Katana
Kurana Katunayaka,Katana
Kurana Katunayaka South,Katana
Katunayaka North,Katana
Katunayaka South,Katana
Walanagoda,Katana
Kalahapitiya,Katana
Madawala,Katana
Muthuwadiya,Katana
Liyanagemulla North,Katana
Liyanagemulla South,Katana
Amandoluwa,Katana
Thampala,Katana
Kuswala,Katana
Ganepola,Katana
Heenatiyana West,Katana
Heenatiyana South,Katana
Heenatiyana East,Katana
Raddolugama North A,Katana
Raddolugama North,Katana
Raddolugama South,Katana
Raddolugama South A,Katana
Raddoluwa North,Katana
Raddoluwa West,Katana
Seeduwa,Katana
Mookalangamuwa West,Katana
Mookalangamuwa East,Katana
Bandarawatta East,Katana
Bandarawatta West,Katana
Dambaduraya,Katana
Raddoluwa South,Katana
Lansiyawadiya,Katana
Kotugoda,Katana
Kasagahawatta,Katana
Udammita North,Katana
Alawathupitiya,Katana
Udammita South,Katana
Ambalammulla,Katana
Andimulla,Divulapitiya
Ambalayaya,Divulapitiya
Bolagala,Divulapitiya
Otharawadiya,Divulapitiya
Godigamuwa West,Divulapitiya
Godigamuwa East,Divulapitiya
Balawala,Divulapitiya
Badalgama,Divulapitiya
Delpakadawara,Divulapitiya
Sirigapathawatta,Divulapitiya
Pethigoda,Divulapitiya
Alugolla,Divulapitiya
Polwatta,Divulapitiya
Polhena,Divulapitiya
Mellawagedara,Divulapitiya
Diklanda,Divulapitiya
Katukenda,Divulapitiya
Akarangaha,Divulapitiya
Kehelella West,Divulapitiya
Lihiniyagammana,Divulapitiya
Akaragama East,Divulapitiya
Akaragama West,Divulapitiya
Akaragama North,Divulapitiya
Pahala Madampella,Divulapitiya
Halpe,Divulapitiya
East Kaluwarippuwa North,Divulapitiya
Koonagodamulla North,Divulapitiya
Kongodamulla West,Divulapitiya
Kongodamulla South,Divulapitiya
Kongodamulla East,Divulapitiya
Ihala Madampella North,Divulapitiya
Ihala Madampella West,Divulapitiya
Ihala Madampella East,Divulapitiya
Ihalagama,Divulapitiya
Kehelella South,Divulapitiya
Kehelella North,Divulapitiya
Delwagura,Divulapitiya
Wekada,Divulapitiya
Kalumada,Divulapitiya
Agalegedara,Divulapitiya
Waradala,Divulapitiya
Kotadeniyawa,Divulapitiya
Erabadda,Divulapitiya
Diyagampala,Divulapitiya
Koradaminna,Divulapitiya
Dimbuldeniya,Divulapitiya
Paragoda North,Divulapitiya
Paragoda South,Divulapitiya
Moragalkanda,Divulapitiya
Nawana West,Divulapitiya
Hettimulla,Divulapitiya
Halloluwa,Divulapitiya
Kelegedara,Divulapitiya
Heeralugedara,Divulapitiya
Walpita,Divulapitiya
Welagana,Divulapitiya
Thammita,Divulapitiya
Palliyapitiya West,Divulapitiya
Induragara North,Divulapitiya
Induragara South,Divulapitiya
Kadawala North,Divulapitiya
Kadawala,Divulapitiya
East Kaluwarippuwa South,Divulapitiya
Miriswatta,Divulapitiya
Dagonna North,Divulapitiya
Dagonna East,Divulapitiya
Halgahawelawatta,Divulapitiya
Katuwellegama North,Divulapitiya
Kadawala South,Divulapitiya
Batepola,Divulapitiya
Doonagaha South,Divulapitiya
Doonagaha,Divulapitiya
Palliyapitiya East,Divulapitiya
Hunumulla,Divulapitiya
Hapugahagama,Divulapitiya
Barawavila,Divulapitiya
Kudagammana,Divulapitiya
Pahala Madithiyawala,Divulapitiya
Kaluaggala,Divulapitiya
Kuleegedara,Divulapitiya
Nawana East,Divulapitiya
Nariyamulla,Divulapitiya
Halpe,Divulapitiya
Parana Halpe West,Divulapitiya
Parana Halpe East,Divulapitiya
Gurullagama,Divulapitiya
Ihala Kithulwala,Divulapitiya
Pahala Kithulwala,Divulapitiya
Kithulwala North,Divulapitiya
Kaluaggala Pahalagama,Divulapitiya
Wattemulla,Divulapitiya
Ihala Madithiyawala,Divulapitiya
Hangawatta,Divulapitiya
Rassapana,Divulapitiya
Balagalla West,Divulapitiya
Parana Handiya,Divulapitiya
Pinnakele,Divulapitiya
Pinnakele South,Divulapitiya
Urapana,Divulapitiya
Kelepitimulla,Divulapitiya
Sayakkaramulla,Divulapitiya
Henpitagedara,Divulapitiya
Aluthepola West,Divulapitiya
Thotillagahawatta,Divulapitiya
Katuwellegama South,Divulapitiya
Palugahawela,Divulapitiya
Dagonna South,Divulapitiya
Hapuwalana South,Divulapitiya
Hapuwalana,Divulapitiya
Bomugammana North,Divulapitiya
Bomugammana South,Divulapitiya
Pinnalanda,Divulapitiya
Divulapitiya,Divulapitiya
Balagalla East,Divulapitiya
Ullapola East,Divulapitiya
Ullapola West,Divulapitiya
Wewagedara,Divulapitiya
Horagasmulla,Divulapitiya
Aswennawatta East,Divulapitiya
Hapuwalana North,Divulapitiya
Aswennawatta West,Divulapitiya
Weragodamulla,Divulapitiya
Aluthepola East,Divulapitiya
Nalla,Mirigama
Giriullagama,Mirigama
Loluwagoda,Mirigama
Delwala South,Mirigama
Delwala,Mirigama
Loluwagoda South,Mirigama
Madurupitiya,Mirigama
Hapugahagedara,Mirigama
Kadangamuwa,Mirigama
Henegama,Mirigama
Maladeniya,Mirigama
Kahadawa,Mirigama
Kandalama,Mirigama
Walbotale,Mirigama
Perisyala,Mirigama
Kamarangawa,Mirigama
Keenadeniya,Mirigama
Bothale Pahalagama North,Mirigama
Maweehena,Mirigama
Kurunduwatta,Mirigama
Purana Meerigama,Mirigama
Hakurukumbura,Mirigama
Mugurugampala,Mirigama
Vilwatta,Mirigama
Thawalampitiya,Mirigama
Bothale Pahalagama,Mirigama
Bothale Pahalagama West,Mirigama
Bothale Medagama,Mirigama
Bothale Pahalagama East,Mirigama
Thalagama East,Mirigama
Thalagama,Mirigama
Balathawa,Mirigama
Makura,Mirigama
Pottekanda,Mirigama
Bothale Iahalagama,Mirigama
Adagalakanda,Mirigama
Ihala Halugama,Mirigama
Kidiwala,Mirigama
Pahala Halugama,Mirigama
Meerigama,Mirigama
Walawwatta,Mirigama
Thilinagama,Mirigama
Vijayarajadahana,Mirigama
Ihala Neligama,Mirigama
Neligama Central,Mirigama
Neligama,Mirigama
Lindara,Mirigama
Halugama,Mirigama
Siyambalagoda,Mirigama
Pahala Lindara,Mirigama
Pohonnaruwa,Mirigama
Indiparape,Mirigama
Kosetadeniya,Mirigama
Imbulanwala,Mirigama
Uduulla,Mirigama
Gaspe,Mirigama
Banduragoda,Mirigama
Keppitiwalana,Mirigama
Gaspe Pahalagama,Mirigama
Galgana,Mirigama
Pelapitigama,Mirigama
Elhena,Mirigama
Ganegoda,Mirigama
Hiriwala,Mirigama
Handurumulla,Mirigama
Pamunuwatta,Mirigama
Ihala Lindara,Mirigama
Arukgoda,Mirigama
Madabavita,Mirigama
Madabavita Ihalagama,Mirigama
Nawgala,Mirigama
Danovita,Mirigama
Weweldeniya Pahalagama,Mirigama
Weweldeniya Pahalagama West,Mirigama
Henepola,Mirigama
Palmada,Mirigama
"Kal /Pallewela, Kotakanda",Mirigama
Raddelgoda,Mirigama
Ihala Bokalagama,Mirigama
Pahala Bokalagama,Mirigama
Kukulnape,Mirigama
Gaspe South,Mirigama
Muddaragama,Mirigama
Hanchapola,Mirigama
"Hirikuluwa,Ganemulla,Dathgama",Mirigama
Pathagama,Mirigama
Borukgamuwa West,Mirigama
Borukgamuwa,Mirigama
Pallewela,Mirigama
Weragoda / Kakkele,Mirigama
Hansagiriya,Mirigama
Welavilamulla North,Mirigama
Welavilamulla,Mirigama
Udawela,Mirigama
Hapitigama,Mirigama
Makkanigoda North,Mirigama
Pahalawela,Mirigama
Millawala,Mirigama
Weweldeniya Ihalagama West,Mirigama
Weweldeniya Ihalagama,Mirigama
Kotadeniya,Mirigama
Ilukpatha / Weragoda,Mirigama
Hedidenikanda-Radawadunna,Mirigama
Radawadunna,Mirigama
Bataleeya,Mirigama
Bataleeya South,Mirigama
Bolana,Mirigama
Mallehewa,Mirigama
Wabadamulla,Mirigama
Weragoda,Mirigama
Midellawala,Mirigama
Kendalanda,Mirigama
Nungamuwa,Mirigama
Uthuwambogahawatta,Mirigama
Pahala Maligathenna,Mirigama
Maligathenna Central,Mirigama
Wandurawa,Mirigama
Galgamuwa West,Mirigama
Galgamuwa East,Mirigama
Kumbaloluwa,Mirigama
Ihala Kumbaloluwa,Mirigama
Pahala Kumbaloluwa,Mirigama
Dumunnegedara South,Mirigama
Dumunnegedara - Kalatuwawa,Mirigama
Pasyala,Mirigama
Pasyala West,Mirigama
Muruthawala,Mirigama
Kithanawatta,Mirigama
Kammalpitiya,Mirigama
Radawadunna Central,Mirigama
Imbulgasovita,Mirigama
Pahala Radawadunna,Mirigama
Weerasooriyakanda,Mirigama
Pasyala East,Mirigama
Udugama,Mirigama
Panawala,Mirigama
Delgahamedilla,Mirigama
Mottunna West,Mirigama
Mottunna,Mirigama
Maligathenna,Mirigama
Kureekotuwa,Mirigama
Hakwaduna,Mirigama
Pahala Kureekotuwa,Mirigama
Ellalamulla,Mirigama
Debahera,Mirigama
Mawathahena,Mirigama
Meevitiya,Mirigama
Ketakalapitiya,Mirigama
Dambutuwa,Mirigama
Medemulla  North,Minuwangoda
Nilpanagoda West,Minuwangoda
Nilpanagoda East,Minuwangoda
Nilpanagoda,Minuwangoda
Arangawa,Minuwangoda
Horampella North,Minuwangoda
Galkanda,Minuwangoda
Bodhipihituwala,Minuwangoda
Watinapaha,Minuwangoda
Mabodala West,Minuwangoda
Mabodala North,Minuwangoda
Ihala Vithanamulla,Minuwangoda
Nalapaha,Minuwangoda
Pahala Vithanamulla,Minuwangoda
Mabodala East,Minuwangoda
Mabodala South,Minuwangoda
Watinapaha South,Minuwangoda
Wankepumulla,Minuwangoda
Kamaragoda,Minuwangoda
Kudagoda,Minuwangoda
Horampella South,Minuwangoda
Mahagama,Minuwangoda
Wegowwa South,Minuwangoda
Minuwangoda East,Minuwangoda
Minuwangoda North,Minuwangoda
Medemulla South,Minuwangoda
Boragodawatta North,Minuwangoda
Yatiyana,Minuwangoda
Peellawatta,Minuwangoda
Unnaruwa,Minuwangoda
Yatiyana Central,Minuwangoda
Yatiyana East,Minuwangoda
Kopiwatta,Minuwangoda
Boragodawatta South,Minuwangoda
Minuwangoda West,Minuwangoda
Meda Minuwangoda,Minuwangoda
Pansilgoda,Minuwangoda
Wegowwa East,Minuwangoda
Helakandana,Minuwangoda
Peralanda,Minuwangoda
Dewalapola,Minuwangoda
Wadumulla,Minuwangoda
Metikotumulla,Minuwangoda
Essella,Minuwangoda
Yatagama,Minuwangoda
Naiwala North,Minuwangoda
Naiwala East,Minuwangoda
Naiwala West,Minuwangoda
Walpitamulla,Minuwangoda
Balabowa,Minuwangoda
Balabowa West,Minuwangoda
Pethiyagoda North,Minuwangoda
Gallegedara,Minuwangoda
Ganihimulla,Minuwangoda
Hendimahara,Minuwangoda
Kalawana,Minuwangoda
