name,moh_area
Horethuduwa North,Panadura
Horethuduwa,Panadura
Horethuduwa Central,Panadura
Horethuduwa South,Panadura
Gorakana,Panadura
Gorakana South,Panadura
Paratta West,Panadura
Paratta,Panadura
Diggala,Panadura
Keselwatta,Panadura
Sarikkamulla,Panadura
Henamulla,Panadura
Wattalpola,Panadura
Miriyawatta,Panadura
Thotawatta,Panadura
Werawatta,Panadura
Pallimulla,Panadura
Gorakapola,Panadura
Walana North,Panadura
Ambalanduwa,Panadura
Galthude North,Panadura
Galthude,Panadura
Hirana West,Panadura
Hirana,Panadura
Thanthirimulla East,Panadura
Thanthirimulla,Panadura
Bekkegama,Panadura
Walana South,Panadura
Walana,Panadura
Udahamulla,Panadura
Punchideniya,Panadura
Malamulla West,Panadura
Kiriberiya,Panadura
Malamulla,Panadura
Kuruppumulla,Panadura
Atambagoda,Panadura
Pattiya North,Panadura
Bazaar North,Panadura
Sagara Place,Panadura
Bazaar West,Panadura
Bazaar,Panadura
Walapala Pattiya,Panadura
Walapala,Panadura
Eluwila,Panadura
Wekada East,Panadura
Wekada North,Panadura
Wekada West,Panadura
Pattiya,Panadura
Uyankele,Panadura
Pattiya South,Panadura
Kaludewala,Panadura
Kaludewala East,Panadura
Morawinna,Panadura
Nalluruwa North,Panadura
Nalluruwa,Panadura
Dibbedda,Panadura
Dibbedda North,Panadura
Narampitiya,Panadura
Pinwatta,Panadura
Pinwatta West,Panadura
Thalpitiya North,Panadura
Thalpitiya South,Panadura
Pallimankada,Panadura
Wadduwa West,Panadura
Wadduwa East,Panadura
Maha Wadduwa,Panadura
Pattieliya,Panadura
Kuda Wadduwa,Panadura
Wadduwa South,Panadura
Molligoda,Panadura
Molligoda North,Panadura
Molligoda South,Panadura
Kidelpitiya West,Bandaragama
Kidelpitiya East,Bandaragama
Senapura,Bandaragama
Newdawa,Bandaragama
Aluthgama,Bandaragama
Elothiyawa,Bandaragama
Walgama North,Bandaragama
Rerukana,Bandaragama
Samaranayakapura,Bandaragama
Kothalawala,Bandaragama
Veedagama East,Bandaragama
Walgama South,Bandaragama
Gammanpila,Bandaragama
Medagama,Bandaragama
Alubomulla East,Bandaragama
Kuda Aruggoda East,Bandaragama
Maha Aruggoda,Bandaragama
Kuda Aruggoda West,Bandaragama
Batadombathuduwa,Bandaragama
Miriswatta,Bandaragama
Wanduramulla West,Bandaragama
Pinwala East,Bandaragama
Pinwala West,Bandaragama
Wanduramulla East,Bandaragama
Mahavila,Bandaragama
Pamunugama,Bandaragama
Alubomulla West,Bandaragama
Rambukkana North,Bandaragama
Kamburugoda West,Bandaragama
Kamburugoda East,Bandaragama
Veedagama West,Bandaragama
Gelanigama,Bandaragama
Raigama South,Bandaragama
Raigama West,Bandaragama
Raigama East,Bandaragama
Raigama North,Bandaragama
Kolamediriya North,Bandaragama
Bandaragama East,Bandaragama
Bandaragama,Bandaragama
Rambukkana South,Bandaragama
Bolgoda,Bandaragama
Mahabellana,Bandaragama
Ibulliha,Bandaragama
Diganathuduwa,Bandaragama
Madupitiya,Bandaragama
Mahawatta,Bandaragama
Bandaragama West,Bandaragama
Yatiyana,Bandaragama
Wevita,Bandaragama
Atulugama East,Bandaragama
Panape,Bandaragama
Galgemandiya,Bandaragama
Atulugama West,Bandaragama
Bamunumulla (Muslim),Bandaragama
Bamunumulla,Bandaragama
Epitamulla,Bandaragama
Korawela,Bandaragama
Bogahawatta,Bandaragama
Kimmanthudawa,Bandaragama
Kotigamgoda,Horana
Pahala Millewa North,Horana
Pahala Millewa South,Horana
Ihala Millewa North,Horana
Ihala Millewa South,Horana
Thalagala East,Horana
Thalagala North,Horana
Thalagala West,Horana
Olaboduwa North,Horana
Koralaima,Horana
Godigamuwa East,Horana
Halapitiya,Horana
Wellmilla,Horana
Godigamuwa West,Horana
Palannoruwa,Horana
Olaboduwa South,Horana
Olaboduwa East,Horana
Thalagala South,Horana
Pannila,Horana
Kahatapitiya,Horana
Uduwa North,Horana
Kidelpitiya,Horana
Gorokgoda,Horana
Dambara,Horana
Handupelpola,Horana
Kuda Uduwa,Horana
Maha Uduwa,Horana
Kananvila North,Horana
Batuvita North,Horana
Kumbuka East,Horana
Kumbuka South,Horana
Kumbuka North,Horana
Kumbuka West,Horana
Pokunuwita,Horana
Batuvita South,Horana
Meemana,Horana
Kananvila South,Horana
Uduwa South,Horana
Kirigalahena,Horana
Meewanapalana West,Horana
Meewanapalana East,Horana
Gurugoda,Horana
Munagama East,Horana
Midellamulahena,Horana
Ovitiyagala,Horana
Aramanagolla,Horana
Werellahena,Horana
Kulupana,Horana
Kanewala,Horana
Henegama,Horana
Galedandugoda,Horana
Horana North,Horana
Munagama West,Horana
Dikhenagama,Horana
Narthanagala,Horana
Horana South,Horana
Wewala West,Horana
Halthotiyawatta,Horana
Mahena,Horana
Wewala East,Horana
Horana East,Horana
Menerigama,Ingiriya
Arakavila,Ingiriya
Kandanapitiya,Ingiriya
Kottiyawatta,Ingiriya
Kurana North,Ingiriya
Kurana South,Ingiriya
Kotigala,Ingiriya
Handapangoda East,Ingiriya
Handapangoda West,Ingiriya
Kekuladola,Ingiriya
Handapangoda South,Ingiriya
Batugampola,Ingiriya
Raigamwatta,Ingiriya
Maha Ingiriya,Ingiriya
Nambapana,Ingiriya
Urugala East,Ingiriya
Ingiriya East,Ingiriya
Ingiriya North,Ingiriya
Nimalagama,Ingiriya
Eduragala,Ingiriya
Maputugala,Ingiriya
Pelpitigoda,Ingiriya
Rathmalgoda East,Ingiriya
Rathmalgoda West,Ingiriya
Poruwadanda West,Ingiriya
Poruwadanda East,Ingiriya
Wagawatta,Ingiriya
Kekulaliya,Ingiriya
Dombagaskanda,Ingiriya
Ingiriya West,Ingiriya
Urugala West,Ingiriya
Ihala Naragala,Bulathsinhala
Kobawaka North,Bulathsinhala
Diwalakada,Bulathsinhala
Meegahakumbura,Bulathsinhala
Yahalawatta,Bulathsinhala
Bothale Gangoda,Bulathsinhala
Kongasthenna,Bulathsinhala
Halwathura,Bulathsinhala
Amaragedara North,Bulathsinhala
Bothale,Bulathsinhala
Bulathsinhala North,Bulathsinhala
Egaloya,Bulathsinhala
Kobawaka South,Bulathsinhala
Ihala Naragala South,Bulathsinhala
Govinna North,Bulathsinhala
Pahala Naragala,Bulathsinhala
Dewamulla,Bulathsinhala
Govinna South,Bulathsinhala
Ratiyala,Bulathsinhala
Galahena,Bulathsinhala
Bulathsinhala South,Bulathsinhala
Bulathsinhala,Bulathsinhala
Bulathsinhala Central,Bulathsinhala
Amaragedara South,Bulathsinhala
Delmella,Bulathsinhala
Udugalakanda,Bulathsinhala
Niggaha,Bulathsinhala
Yatagampitiya,Bulathsinhala
Karaldekma,Bulathsinhala
Bulathsinhala East,Bulathsinhala
Damparadugoda,Bulathsinhala
Pahala Welgama,Bulathsinhala
Bulathsinhala West,Bulathsinhala
Deeyakaduwa East,Bulathsinhala
Deeyakaduwa West,Bulathsinhala
Bogahawatta,Bulathsinhala
Mahagama North,Bulathsinhala
Demodarawatta,Bulathsinhala
Thennahena,Bulathsinhala
Ihala Welgama,Bulathsinhala
Paragoda West,Bulathsinhala
Paragoda East,Bulathsinhala
Molkawa,Bulathsinhala
Galahitiya,Bulathsinhala
Mahagama East,Bulathsinhala
Polegoda West,Bulathsinhala
Mahagama West,Bulathsinhala
Pahala Kudaligama,Bulathsinhala
Ihala Kudaligama,Bulathsinhala
Weyangalla West,Bulathsinhala
Weyangalla East,Bulathsinhala
Mahagama South,Bulathsinhala
Muduna,Bulathsinhala
Gamagewatta,Bulathsinhala
Ilimba,Madurawala
Kandana North,Madurawala
Kandana South,Madurawala
Elawella,Madurawala
Bellapitiya West,Madurawala
Mahena South,Madurawala
Bellapitiya East,Madurawala
Walpita,Madurawala
Werawatta,Madurawala
Peramunagama,Madurawala
Weliketella,Madurawala
Remuna,Madurawala
Mahayala East,Madurawala
Kananvila,Madurawala
Mahayala West,Madurawala
Hallankanda,Madurawala
Kudella,Madurawala
Madurawala East,Madurawala
Kudayala,Madurawala
Pahala Karannagoda,Madurawala
Anguruwathota,Madurawala
Madurawala West,Madurawala
Keselhenawa,Madurawala
Karannagoda,Madurawala
Ihala Karannagoda,Madurawala
Katuhena,Madurawala
Warakagoda North,Madurawala
Warakagoda West,Madurawala
Warakagoda South,Madurawala
Warakagoda East,Madurawala
Nahalla,Madurawala
Pahalagoda,Madurawala
Ihalagoda,Madurawala
Gungamuwa,Millaniya
Bellanthudawa,Millaniya
Kelesgamuwa,Millaniya
Welikala,Millaniya
Thibbotugoda,Millaniya
Lenawara,Millaniya
Haltota,Millaniya
Langana,Millaniya
Deldorawatta,Millaniya
Millaniya,Millaniya
Raddegoda,Millaniya
Delkada,Millaniya
Paragasthota,Millaniya
Dikhena,Millaniya
Arakagoda,Millaniya
Kennanthudawa,Millaniya
Mawathgama,Millaniya
Yalagala,Millaniya
Labugama,Millaniya
Pethigamuwa North,Millaniya
Pethigamuwa South,Millaniya
Weniwelpitiya,Millaniya
Millagaspola,Millaniya
Boralessa,Millaniya
Pelpola,Millaniya
Imbulahena,Millaniya
Punsiripura,Millaniya
Galpatha West,Millaniya
Galpatha East,Millaniya
Batagoda,Millaniya
Mulkadakanda,Millaniya
Adhikarigoda,Millaniya
Dombagoda,Millaniya
Uduwara North,Millaniya
Uduwara West,Millaniya
Uduwara East,Millaniya
Uduwara South,Millaniya
Pathakada,Millaniya
Panagoda,Millaniya
Yatawara South,Millaniya
Mahadurupitiya,Millaniya
Delgoda,Millaniya
Yatawara North,Millaniya
Begamuwa Thalahitiya,Millaniya
Mestiya,Kalutara
Maha Gonadoowa,Kalutara
Kuda Gonadoowa,Kalutara
Moronthuduwa North,Kalutara
Mawala,Kalutara
Melegama North,Kalutara
Melegama South,Kalutara
Habaralagahalanda,Kalutara
Pohoddaramulla West,Kalutara
Pohoddaramulla East,Kalutara
Pothupitiya East,Kalutara
Mawala South,Kalutara
Maharekma,Kalutara
Nandoowa,Kalutara
