name,moh_area
Meegahahena South,Thumpane
Meegahahena,Thumpane
Galabawa,Thumpane
Kobbegala,Thumpane
Ambagahahena,Thumpane
Rockhill,Thumpane
Akkarawatta,Thumpane
Bonakot,Thumpane
Haddapitiya,Thumpane
Delgasyaya,Thumpane
Gallenawatta,Thumpane
Kandanhena East,Thumpane
Namalthenna,Thumpane
Alawattegama,Thumpane
Kumburegama,Thumpane
Ban Anga,Thumpane
Ethamulla,Thumpane
Palukopiwatta,Thumpane
Damunugasthenna,Thumpane
Galagedara West,Thumpane
Udapitiya,Thumpane
Galagedara Madige south,Thumpane
Galagedara,Thumpane
Galagedara Madige,Thumpane
Pethigewela,Thumpane
Udalagama,Thumpane
Gunadaha,Thumpane
Medagoda Pahala,Thumpane
Opalla,Thumpane
Gangodapitiya,Thumpane
Pubbiliya,Thumpane
Kannadeniya,Thumpane
Barandara,Thumpane
Kaluwana,Thumpane
Kinigama,Thumpane
Kinigama East,Thumpane
Poththila,Thumpane
Uduwa,Thumpane
Medagoda Ihala,Thumpane
Naranwala,Thumpane
Hikgodawalpola,Thumpane
Paranagama,Thumpane
Weththewa,Thumpane
Pavulpawa,Thumpane
Kirindiwelpola,Thumpane
Kuragama North,Thumpane
Nikathenna,Thumpane
Etambegoda,Thumpane
Thahalpitiya,Thumpane
Dehideniya,Thumpane
Kandekumbura,Thumpane
Diyapalagoda,Thumpane
Niyangoda,Thumpane
Niyambepola,Thumpane
Henegama Palkumbura,Thumpane
Idamegama,Thumpane
Marawanagoda,Thumpane
Adungama Palkumbura,Thumpane
Kuragama,Thumpane
Udahenepola,Thumpane
Poholiyadda,Thumpane
Hiyadala,Thumpane
Pallekotuwa,Thumpane
Hiyadala Walpola,Thumpane
Minigamuwa,Thumpane
Minigamuwa Ihala,Thumpane
Thennewela,Thumpane
Egodamulla North,Poojapitiya
Ihalamulla,Poojapitiya
Dehiwatta,Poojapitiya
Egodamulla South,Poojapitiya
Pahala Kithulgolla,Poojapitiya
Alawatta,Poojapitiya
Uda Kithulgolla,Poojapitiya
Ankumbura South,Poojapitiya
Ankumbura North,Poojapitiya
Uggala Janapadaya,Poojapitiya
Pahala Pallegama,Poojapitiya
Welgala,Poojapitiya
Ankumbura Udagama,Poojapitiya
Kovila muduna,Poojapitiya
Galhinna,Poojapitiya
Galkanda,Poojapitiya
Palliya Kotuwa,Poojapitiya
Batagolladeniya,Poojapitiya
Watagalathenna,Poojapitiya
Morankanda,Poojapitiya
Wewala North,Poojapitiya
Udahena,Poojapitiya
Siyapathgama,Poojapitiya
Pathirada,Poojapitiya
Udahigulwala,Poojapitiya
Pahala Hingulwala,Poojapitiya
Rambukewala,Poojapitiya
Godahena,Poojapitiya
Kahatagasthenna,Poojapitiya
Watagoda,Poojapitiya
Dolapihilla North,Poojapitiya
Dolapihilla South,Poojapitiya
Weligalla,Poojapitiya
Wewala,Poojapitiya
Bokkawala,Poojapitiya
Harankahawa,Poojapitiya
Henegama,Poojapitiya
Molagoda,Poojapitiya
Waldeniya,Poojapitiya
Medagoda,Poojapitiya
Diddeniya,Poojapitiya
Ovissa North,Poojapitiya
Ovissa South,Poojapitiya
Kiralagama,Poojapitiya
Palipana,Poojapitiya
Dombagammana,Poojapitiya
Ukgahakumbura,Poojapitiya
Marathugoda North,Poojapitiya
Marathugoda South,Poojapitiya
Ambaruppa,Poojapitiya
Gallella,Poojapitiya
Maruddana,Poojapitiya
Alagoda,Poojapitiya
Madadeniya,Poojapitiya
Warakadeniya,Poojapitiya
Batagalla North,Poojapitiya
Bamunupola,Poojapitiya
Batugoda North,Poojapitiya
Batagalla South,Poojapitiya
Batugoda South,Poojapitiya
Diwanawatta,Poojapitiya
Mullegama North,Poojapitiya
Kahawatta North,Poojapitiya
Kahawatta South,Poojapitiya
Mullegama South,Poojapitiya
Kaluwana South,Poojapitiya
Kaluwana North,Poojapitiya
Rambuke Ela,Akurana
Vilana Udagama,Akurana
Vilana Pallegama,Akurana
Walahena,Akurana
Alawathugoda,Akurana
Balakaduwa,Akurana
Mawathupola,Akurana
Arambepola,Akurana
Delgasgoda,Akurana
Dippitiya,Akurana
Malwanahinna,Akurana
Konakalagala,Akurana
Malgamandeniya,Akurana
Rathkoho,Akurana
Marahela,Akurana
Hureegolla,Akurana
Neeralla,Akurana
Melchena,Akurana
Bulugohothanna,Akurana
Kasawatta,Akurana
Udaweliketiya,Akurana
Pallewelikatiya,Akurana
Dodangolla,Akurana
Akurana,Akurana
Delgasthenne,Akurana
Kurugoda,Akurana
Deegala,Akurana
Pangollamada,Akurana
Dunuvila North,Akurana
Dunuvila South,Akurana
Palledeegala,Akurana
Telambugahawatta Gama,Akurana
Waragashinna,Akurana
Kurudugahaela,Akurana
Uggala,Akurana
Yatawara,Pathadumbara
Yatawara Kandagama,Pathadumbara
Ihala Yatawara,Pathadumbara
Udurawana,Pathadumbara
Doragamuwa,Pathadumbara
Bogahakumbura,Pathadumbara
Deegahawathura,Pathadumbara
Mahakumbura,Pathadumbara
Mandandawela,Pathadumbara
Paranagama,Pathadumbara
Aluthgama,Pathadumbara
Walpaladeniya,Pathadumbara
Puwakgahadeniya,Pathadumbara
Wattegama,Pathadumbara
Wattegama North,Pathadumbara
Gunembill,Pathadumbara
Eriyagasthenna,Pathadumbara
Pitiyegedara,Pathadumbara
Yatirawana,Pathadumbara
Meegammana,Pathadumbara
Meegammana West,Pathadumbara
Galadeniya,Pathadumbara
Udathalavinna,Pathadumbara
Pallethalavinna Ihala,Pathadumbara
Moonamale,Pathadumbara
Kendaliyadda,Pathadumbara
Girakaduwa,Pathadumbara
Ambathanna,Pathadumbara
Molagodayawatta,Pathadumbara
Megodagama,Pathadumbara
Egodagama,Pathadumbara
Millanga,Pathadumbara
Pallethalavinna,Pathadumbara
Udathalavinna Madige,Pathadumbara
Meegamawatta,Pathadumbara
Madawala Madige,Pathadumbara
Madawala,Pathadumbara
Walala,Pathadumbara
Ketakahala,Pathadumbara
Thalkotuwa,Pathadumbara
Napana,Pathadumbara
Leemagahadeniya,Pathadumbara
Pihilladeniya,Pathadumbara
Gunnepana Madige,Pathadumbara
Polgolla,Pathadumbara
Balanagala,Pathadumbara
Nawayalathenna,Pathadumbara
Kahalla,Pathadumbara
Kalugalawatta,Pathadumbara
Galewatta,Pathadumbara
Abasingama,Pathadumbara
Hamindagoda,Pathadumbara
Kelebokka,Panvila
Watakele,Panvila
Mahapathana,Panvila
Kosgama,Panvila
Thawalanthenna,Panvila
Gomaraya,Panvila
Beddegama,Panvila
Arattana,Panvila
Madulkele,Panvila
Hathale,Panvila
Angammana,Panvila
Udugoda,Panvila
Pitawala,Panvila
Panvila,Panvila
Meemure,Udadumbara
Kumbukgolla,Udadumbara
Kaikawala,Udadumbara
Pusse Ela,Udadumbara
Karambaketiya,Udadumbara
Gerandigala,Udadumbara
Moonamalpelessa,Udadumbara
Kalugala,Udadumbara
Udailuka,Udadumbara
Padupola,Udadumbara
Udakumbura,Udadumbara
Kalugaloya,Udadumbara
Dumbaragama,Udadumbara
Pallewela,Udadumbara
Udawela,Udadumbara
Kandegama,Udadumbara
Wadawalakanda,Udadumbara
Kobonilla,Udadumbara
Pallekanda,Udadumbara
Hanwella,Udadumbara
Andideniya,Udadumbara
Dambagahapitiya,Udadumbara
Poppitiya,Udadumbara
Oyathenna,Udadumbara
Thalagune,Udadumbara
Gedaramada,Udadumbara
Kirigankumbura,Udadumbara
Udadumbara,Udadumbara
Nawanagala,Udadumbara
Hunnasgiriya,Udadumbara
Kiripattiya,Udadumbara
Halyala,Udadumbara
Mediriya,Udadumbara
Gangoda,Udadumbara
Udapitawala,Udadumbara
Mahawala,Udadumbara
Pitawala Udagammedda,Udadumbara
Godakumbura,Udadumbara
Mediwaka,Udadumbara
Karandagolla,Udadumbara
Rambukwella East,Udadumbara
Rambukwella West,Udadumbara
Denapitiya,Udadumbara
Nugethenna East,Udadumbara
Nugethenna West,Udadumbara
Kevulgama,Udadumbara
Ganegala,Udadumbara
Minuwangamuwa,Udadumbara
Kalalgamuwa,Udadumbara
Pitawala,Udadumbara
Dewahandiya East,Udadumbara
Hapukanda East,Udadumbara
Hapukanda West,Udadumbara
Madugalla Udagammedda,Udadumbara
Madugalla North,Udadumbara
Madugalla South,Udadumbara
Pamunethenna,Udadumbara
Devinnegama,Udadumbara
Bamgarabedda East,Udadumbara
Bambarabedda West,Udadumbara
Pitigoda,Udadumbara
Kalawala,Udadumbara
Dewahandiya West,Udadumbara
Galamuduna,Minipe
Dungolla,Minipe
Thotillagasella,Minipe
Palugolla,Minipe
Wewere,Minipe
Dehemigama,Minipe
