name,moh_area
Talaimannar Village North,Mannar Town
Talaimannar Pier West,Mannar Town
Talaimannar Pier East,Mannar Town
Taliamannar,Mannar Town
Talaimannar Village South,Mannar Town
Kaddukaran Kudiyiruppu,Mannar Town
Thullukudiyiruppu,Mannar Town
Pesalai South,Mannar Town
Pesalai North,Mannar Town
Pesalai West,Mannar Town
Siruthoppu,Mannar Town
Periya Karisal,Mannar Town
Olaithodduwai,Mannar Town
Puthukudiyiruppu,Mannar Town
Erukkalampiddy West,Mannar Town
Erukkalampiddy North,Mannar Town
Erukkalampiddy East,Mannar Town
Erukkalampiddy South,Mannar Town
Erukkalampiddy Central,Mannar Town
Pallimunai East,Mannar Town
Moor Street,Mannar Town
Emil Nagar,Mannar Town
Tharapuram East,Mannar Town
Tharapuram West,Mannar Town
Thoddavely,Mannar Town
Thalvupadu,Mannar Town
Paddithottam,Mannar Town
Eluthoor,Mannar Town
South Bar,Mannar Town
Shavatkaddu,Mannar Town
Sinnakadai,Mannar Town
Uppukulam North,Mannar Town
Pallimunai West,Mannar Town
Uppukulam South,Mannar Town
Periyakadai,Mannar Town
Pettah,Mannar Town
Panankaddukoddu West,Mannar Town
Panankaddukoddu East,Mannar Town
Periyanavatkulam,Mannar Town
Thiruketheeswaram,Mannar Town
Nagathalvu,Mannar Town
Neelasenai,Mannar Town
Mathoddam,Mannar Town
Kallikaddaikadu,Mannar Town
Vannamoddai,Mannar Town
Uyilankulam,Mannar Town
Puthukamam,Mannar Town
Uyirtharasankulam,Mannar Town
Parappankandal,Mannar Town
Thevanpiddy,Manthai West
Vellankulam,Manthai West
Pali Aru,Manthai West
Anthoniyarpuram,Manthai West
Illuppaikadavai,Manthai West
Kalliyadi,Manthai West
Aththimoddai,Manthai West
Koorai,Manthai West
Periyamadhu East,Manthai West
Periyamadhu West,Manthai West
Kayanagar,Manthai West
Pallamadhu,Manthai West
Kovitkulam,Manthai West
Vidataltivu North,Manthai West
Vidataltivu West,Manthai West
Vidataltivu Central,Manthai West
Vidataltivu East,Manthai West
Pappamoddai,Manthai West
Parappukadanthan West,Manthai West
Parappukadanthan East,Manthai West
Kannady,Manthai West
Minukkan,Manthai West
Maligaithiddal,Manthai West
Veddayarmurrippu,Manthai West
Adampan,Manthai West
Nedunkandal,Manthai West
Karunkandal Vannakulam,Manthai West
Alkaddively,Manthai West
Andankulam,Manthai West
Karunkandal,Manthai West
Sornapuri,Manthai West
Palaikuly,Manthai West
Kaththankulam,Manthai West
Vaddakandal,Manthai West
Palayadip Puthukulam,Manthai West
Palai Periymalkaddu,Manthai West
Palampiddy,Madhu
Keerisuddan,Madhu
Parasankulam,Madhu
Vilaththikulam,Madhu
Kakkayankulam East,Madhu
Kalmadhu,Madhu
Kakkayankulam West,Madhu
Iranai Illuppaikulam,Madhu
Periya Pandivirichchan East,Madhu
Periya Pandivirichchan West,Madhu
Madhu,Madhu
Maluvarayar Kaddaiadampan,Madhu
Poomalarnthan,Madhu
Thekkam,Madhu
Pannavedduvan,Madhu
Periyamurippu,Madhu
Mathakiramam,Madhu
Vankalai North,Nanaddan
Vankalai West,Nanaddan
Vankalai East,Nanaddan
Thomaspuri,Nanaddan
Naruvilikkulam,Nanaddan
Vanchiyankulam,Nanaddan
Ilahadipiddy,Nanaddan
Ilanthaimoddai,Nanaddan
Periyakkaddaikadu,Nanaddan
Aththikuly,Nanaddan
Kanchchiththalvu,Nanaddan
Chemmantivu,Nanaddan
Murunkan,Nanaddan
Cheddiarmagan Kaddaidampan,Nanaddan
Iraddaikulam,Nanaddan
Chundikuly,Nanaddan
Puthirarkandan,Nanaddan
Razool Puthuvely,Nanaddan
Nanaddan,Nanaddan
Umanagiri,Nanaddan
Achchankulam,Nanaddan
Moddaikadai,Nanaddan
Rasamadhu,Nanaddan
Pallankoddai,Nanaddan
Valkaipettankandal,Nanaddan
Pontheevukandal,Nanaddan
Kalimoddai Puliyankulam,Nanaddan
Pariharikandal,Nanaddan
Sirukkandal,Nanaddan
Katkidanthakulam,Nanaddan
Isamalaithalvu,Nanaddan
Arippu West,Musalai
Arippu East,Musalai
Methanvely,Musalai
Poonochikulam,Musalai
Pandaravely,Musalai
Sinna Pullachchi Potkerny,Musalai
Periya Pullachchi  Potkerny,Musalai
Veppankulam,Musalai
Maruthamadhu,Musalai
Ahathymurippu,Musalai
Puthuvely,Musalai
Saveriyarpuram,Musalai
Chilavathurai,Musalai
Koolankulam,Musalai
Kondachchi,Musalai
Kokkupadayan,Musalai
Palaikuly,Musalai
Karadikkuly,Musalai
Mullikulam,Musalai
Marichchukaddy,Musalai
