name,moh_area
Kalubovitiyana,Pitabeddara
Galabada,Pitabeddara
Ambewela,Pitabeddara
Dangala west,Pitabeddara
Banagala East,Pitabeddara
Dangala East,Pitabeddara
Banagala West,Pitabeddara
Edandukitha West,Pitabeddara
Edandukitha East,Pitabeddara
Alapaladeya South,Pitabeddara
Alapaladeya North,Pitabeddara
Kiriwelkele North,Pitabeddara
Rambukana West,Pitabeddara
Kodikaragoda West,Pitabeddara
Kodikaragoda East,Pitabeddara
Weliwa,Pitabeddara
Rambukana East,Pitabeddara
Thalapekumbura,Pitabeddara
Kudagalahena,Pitabeddara
Kiriwelkele South,Pitabeddara
Derangala,Pitabeddara
Thannehena,Pitabeddara
Gorakawela,Pitabeddara
Siyambalagoda West,Pitabeddara
Kosnilgoda,Pitabeddara
Aluwana,Pitabeddara
Paradupalla,Pitabeddara
Mahapotuvila,Pitabeddara
Dankoluwa,Pitabeddara
Pitabaddera,Pitabeddara
Kaduruwana,Pitabeddara
Dehigaspa,Pitabeddara
Kotagala,Pitabeddara
Siyambalagoda East,Pitabeddara
Wanasinkanda,Pitabeddara
Diyadawa,Pitabeddara
Ihala Ainagama,Pitabeddara
Emaldeniya,Pitabeddara
Waturakumbura,Pitabeddara
Puwakbadovita,Pitabeddara
Mederipitiya,Kotapola
Keeriwalagama,Kotapola
Kiriweldola,Kotapola
Kandilpana,Kotapola
Viharahena,Kotapola
Adaradeniya,Kotapola
Ihalagama,Kotapola
Bateyaya,Kotapola
Pussawela,Kotapola
Pallegama North,Kotapola
Pathawala Nadakanda,Kotapola
Poddana,Kotapola
Kolawenigama,Kotapola
Pallegama South,Kotapola
Deniyaya West,Kotapola
Deniyaya,Kotapola
Kalugalahena,Kotapola
Thenipita,Kotapola
Mugunumulla,Kotapola
Nawalahena,Kotapola
Kotapola North,Kotapola
Nissankapura,Kotapola
Beliattakumbura,Kotapola
Morawaka,Kotapola
Porupitiya,Kotapola
Waralla,Kotapola
Koodaludeniya,Kotapola
Kotapola South,Kotapola
Usamalagoda,Kotapola
Lindagawahena,Kotapola
Kosmodara,Kotapola
Ilukpitiya,Kotapola
Horagala East,Kotapola
Horagala West,Kotapola
Uvaragala,Kotapola
Pelawatta,Kotapola
Paragala,Kotapola
Batandura South,Pasgoda
Batandura North,Pasgoda
Thalapelakanda,Pasgoda
Kekundeniya,Pasgoda
Ketawala,Pasgoda
Ginnaliya North,Pasgoda
Pattigala,Pasgoda
Beralapanathara South,Pasgoda
Beralapanathara North,Pasgoda
Wijayagama,Pasgoda
Pathavita,Pasgoda
Kirilapane,Pasgoda
Moragala,Pasgoda
Keeripitiya East,Pasgoda
Urubokka,Pasgoda
Ginnaliya West,Pasgoda
Ginnaliya South,Pasgoda
Ginnaliya East,Pasgoda
Mekiliyathenna,Pasgoda
Heegoda,Pasgoda
Keeripitiya West,Pasgoda
Poddeniya,Pasgoda
Mologgamuwa North,Pasgoda
Mologgamuwa South,Pasgoda
Bengamuwa West,Pasgoda
Bengamuwa East,Pasgoda
Dampahala West,Pasgoda
Hulankanda,Pasgoda
Dampahala East,Pasgoda
Pasgoda,Pasgoda
Bengamuwa South,Pasgoda
Denkandaliya,Pasgoda
Panakaduwa Wast,Pasgoda
Rotumba East,Pasgoda
Napathella,Pasgoda
Adaluwa,Pasgoda
Ehelakanda,Pasgoda
Galketikanda,Pasgoda
Rotumba West,Pasgoda
Panakaduwa East,Pasgoda
Gomila,Pasgoda
Puwakgahahena,Pasgoda
Mawarala,Pasgoda
Gombaddala North,Mulatiyana
Kudapana,Mulatiyana
Ketapalakanda,Mulatiyana
Gammedagama,Mulatiyana
Ketiyape North,Mulatiyana
Athapattukanda,Mulatiyana
Parapamulla East,Mulatiyana
Ketiyape South,Mulatiyana
Galetumba,Mulatiyana
Neralampitiya,Mulatiyana
Mulatiyana,Mulatiyana
Diddenipotha North,Mulatiyana
Beragama North,Mulatiyana
Gombaddala South,Mulatiyana
Beragama West,Mulatiyana
Beragama South,Mulatiyana
Makandura West,Mulatiyana
Beragama East,Mulatiyana
Diddenipotha East,Mulatiyana
Diddenipotha South,Mulatiyana
Seenipella West,Mulatiyana
Maduwala,Mulatiyana
Seenipella East,Mulatiyana
Deiyandara,Mulatiyana
Parapamulla West,Mulatiyana
Parapamulla South,Mulatiyana
Dewalegama West,Mulatiyana
Dewalegama East,Mulatiyana
Batadola,Mulatiyana
Kithsiripura,Mulatiyana
Radawela West,Mulatiyana
Belpamulla,Mulatiyana
Bamunugama West,Mulatiyana
Makandura East,Mulatiyana
Ransegoda East,Mulatiyana
Meepavita,Mulatiyana
Mudaligedara,Mulatiyana
Rathkekulawa,Mulatiyana
Ransegoda North,Mulatiyana
Ransegoda South,Mulatiyana
Ransegoda West,Mulatiyana
Koramburuwana,Mulatiyana
Horapavita South,Mulatiyana
Horapavita North,Mulatiyana
Bamunugama East,Mulatiyana
Radawela East,Mulatiyana
Pallawela,Mulatiyana
Pitawalgamuwa,Mulatiyana
Kehelwala,Athuraliya
Urumutta,Athuraliya
Urumutta South,Athuraliya
Dematapassa,Athuraliya
Divithura,Athuraliya
Welihena,Athuraliya
Howpe,Athuraliya
Thalahagama West,Athuraliya
Wenagama,Athuraliya
Thalahagama East,Athuraliya
Uggashena,Athuraliya
Vilpita West,Athuraliya
Kanahalagama,Athuraliya
Godapitiya,Athuraliya
Maragoda,Athuraliya
Panadugama,Athuraliya
Thibbotuwawa North,Athuraliya
Walagepiyadda,Athuraliya
Vilpita East 1,Athuraliya
Vilpita East 2,Athuraliya
Yahamulla,Athuraliya
Naburukanda,Athuraliya
Ihala Athuraliya,Athuraliya
Balakawala,Athuraliya
Thibbotuwawa,Athuraliya
Athuraliya West,Athuraliya
Athuraliya East,Athuraliya
Pahala Athuraliya,Athuraliya
Diganahena,Akuressa
Lenama North,Akuressa
Hulandawa,Akuressa
Maramba North,Akuressa
Peddapitiya North,Akuressa
Idikakudeniya,Akuressa
Lenama South,Akuressa
Udupitiya,Akuressa
Weliketiya,Akuressa
Dediyagala,Akuressa
Vilagama,Akuressa
Ehelape,Akuressa
Dolamawatha,Akuressa
Kohugoda,Akuressa
Ihala Maliduwa,Akuressa
Ketanvila,Akuressa
Nawalagoda,Akuressa
Ellewela,Akuressa
Minipogoda,Akuressa
Peddapitiya South,Akuressa
Maramba South,Akuressa
Ganhela,Akuressa
Asmagoda,Akuressa
Hikgoda,Akuressa
Diyalape,Akuressa
Eramudugoda,Akuressa
Manikgoda,Akuressa
Pahala Maliduwa,Akuressa
Bopitiya,Akuressa
Iluppella,Akuressa
Imbullgoda,Akuressa
Poramba,Akuressa
Akuressa,Akuressa
Yakabwdda,Akuressa
Galabadahena,Akuressa
Ihala Kiyaduwa,Akuressa
Melewwa,Akuressa
Paraduwa North,Akuressa
Paraduwa  East,Akuressa
Paraduwa South,Akuressa
Henegama,Akuressa
Henegama West,Akuressa
Gallala,Akuressa
Nimalawa East,Akuressa
Nimalawa,Akuressa
Paragahawatta,Akuressa
Wahala Kananke North,Welipitiya
Nivithiwelbokka,Welipitiya
Poramba Kananke North,Welipitiya
Puhulahena,Welipitiya
Poramba Kananke South,Welipitiya
Wahala Kananke South,Welipitiya
Nalawana,Welipitiya
Penetiyana West,Welipitiya
Penetiyana East,Welipitiya
Wellana,Welipitiya
Udukawa North,Welipitiya
Udukawa South,Welipitiya
Hallala,Welipitiya
Bathalahena,Welipitiya
Kokmaduwa North,Welipitiya
Sahabandu Kokmaduwa,Welipitiya
Jamburegoda East,Welipitiya
Padili Kokmaduwa,Welipitiya
Beraleliya,Welipitiya
Jayawickramapura,Welipitiya
Warakapitiya North,Welipitiya
Warakapitiya East,Welipitiya
Warakapitiya South,Welipitiya
Meeruppa,Welipitiya
Uruvitiya,Welipitiya
Watagedaramulla,Welipitiya
Moonamalpa,Welipitiya
Welipitiya,Welipitiya
Palalla,Welipitiya
Jamburegoda West,Welipitiya
Ibbawala,Welipitiya
Vilegoda,Welipitiya
Borala,Welipitiya
Maduragoda,Welipitiya
Kapuwatta,Welipitiya
Denipitiya Central,Welipitiya
Denipitiya West,Welipitiya
Denipitiya East,Welipitiya
Elgiriya,Malimbada
Pahala Kiyaduwa,Malimbada
Maragoda,Malimbada
Kekunawela,Malimbada
Kadduwa,Malimbada
Dampella,Malimbada
Horagoda East,Malimbada
Horagoda West,Malimbada
Horagoda South,Malimbada
Kadukanna,Malimbada
Weladagoda,Malimbada
Uninduwela,Malimbada
Thelijjavila,Malimbada
Nape,Malimbada
Akurugoda North,Malimbada
Akurugoda East,Malimbada
Kirimetimulla South,Malimbada
Kirimetimulla North,Malimbada
Malimbeda West,Malimbada
Katuwangoda,Malimbada
Malimbada East,Malimbada
Malimbada North,Malimbada
Malimbada South,Malimbada
Galpamuna,Malimbada
Akurugoda South,Malimbada
Akurugoda West,Malimbada
Sulthanagoda West,Malimbada
Sulthanagoda East,Malimbada
Sulthanagoda South,Malimbada
Gathara West,Kamburupitiya
Gathara North,Kamburupitiya
Gathara East,Kamburupitiya
Beragammulla,Kamburupitiya
Eriyathota,Kamburupitiya
Ganegama,Kamburupitiya
Narandeniya East,Kamburupitiya
Narandeniya West,Kamburupitiya
Malana,Kamburupitiya
Magamure,Kamburupitiya
Sapugoda,Kamburupitiya
Lenabatuwa,Kamburupitiya
Bibulewela,Kamburupitiya
Godawa,Kamburupitiya
Pitakatuwana,Kamburupitiya
Kamburupitiya,Kamburupitiya
Ullala East,Kamburupitiya
Thumbe,Kamburupitiya
Karaputugala North,Kamburupitiya
Karaputugala South,Kamburupitiya
Ullala Masmulla,Kamburupitiya
Ullala West,Kamburupitiya
Mapalana Mangin Ihala,Kamburupitiya
Mapalana Magin Pahala,Kamburupitiya
Seewelgama,Kamburupitiya
Ihala Vitiyala North,Kamburupitiya
Karagoda Uyangoda 1 Atha East,Kamburupitiya
Karagoda Uyangoda 1 West,Kamburupitiya
Karagoda Uyangoda 2 West,Kamburupitiya
Karagoda Uyangoda 2 East,Kamburupitiya
Ihala Vitiyala West,Kamburupitiya
Ihala Vitiyala South,Kamburupitiya
Ihala Vitiyala East,Kamburupitiya
Akurugoda,Kamburupitiya
Kahagala,Kamburupitiya
Kahagala South,Kamburupitiya
Urapola East,Kamburupitiya
Palolpitiya,Kamburupitiya
Urapola West,Kamburupitiya
Denagama East,Hakmana
Denagama North,Hakmana
Denagama West,Hakmana
Badabadda,Hakmana
Meeella,Hakmana
Pananwela East,Hakmana
Pananwela West,Hakmana
Kohuliyadda,Hakmana
Kebiliyapola North,Hakmana
Wepathaira North,Hakmana
Wepathaira West,Hakmana
Kandegoda,Hakmana
Narawelpita East,Hakmana
Narawelpita North,Hakmana
Ellewela East,Hakmana
Ellewela West,Hakmana
Narawelpita South,Hakmana
Beruwewela,Hakmana
Muruthamuraya,Hakmana
Muruthamuraya West,Hakmana
Muruthamuraya East,Hakmana
Wepathaira South,Hakmana
Kebiliyapola South,Hakmana
Gangodagama,Hakmana
Pottewela,Hakmana
Lalpe,Hakmana
Gammedapitiya,Hakmana
Udupeellegoda East,Hakmana
Udupeellegoda West,Hakmana
Kongala East,Hakmana
Kongala South,Hakmana
Kongala Central,Hakmana
Kongala West,Hakmana
Narawelpita West,Hakmana
Ovitigamuwa South,Kirinda Puhulwella
Ovitigamuwa North,Kirinda Puhulwella
Malwathugoda,Kirinda Puhulwella
Galkanda,Kirinda Puhulwella
Kirinda Magin Pahala,Kirinda Puhulwella
Kirinda Magin Ehala North,Kirinda Puhulwella
Hettiyawala West,Kirinda Puhulwella
Hettiyawala North,Kirinda Puhulwella
Boraluketiya,Kirinda Puhulwella
Karathota,Kirinda Puhulwella
Naradda,Kirinda Puhulwella
Kumbalgoda,Kirinda Puhulwella
Hettiyawala East,Kirinda Puhulwella
Hettiyawala South,Kirinda Puhulwella
Wavulanbokka,Kirinda Puhulwella
Puhulwella East,Kirinda Puhulwella
Puhulwella West,Kirinda Puhulwella
Kirinda Magin Ihala South,Kirinda Puhulwella
Kirinda Magin Ihala Central,Kirinda Puhulwella
Kirinda Magin Ihala East,Kirinda Puhulwella
Wathukolakanda East,Kirinda Puhulwella
Walakanda South,Kirinda Puhulwella
Walakanda West,Kirinda Puhulwella
Walakanda  East,Kirinda Puhulwella
Wathukolakanda North,Kirinda Puhulwella
Pahala Vitiyala West,Thihagoda
Pahala Vitiyala Central,Thihagoda
Pahala Vitiyala East,Thihagoda
Polathugoda,Thihagoda
Batuvita I,Thihagoda
Batuvita 2,Thihagoda
Medauyangoda,Thihagoda
Akkara Panaha,Thihagoda
Yatiyana,Thihagoda
Kottawatta,Thihagoda
Komangoda 2,Thihagoda
Komangoda 1,Thihagoda
Thihagoda East,Thihagoda
Thihagoda,Thihagoda
Kithalagama East 2,Thihagoda
Kithalagama East 3,Thihagoda
Kithalagama Central,Thihagoda
Narangala,Thihagoda
Wellethota,Thihagoda
Kithalagama West,Thihagoda
Kithalagama East 1,Thihagoda
Naimbala 1,Thihagoda
Kapudoowa,Thihagoda
Kapudoowa East,Thihagoda
Uduwa West,Thihagoda
Uduwa East,Thihagoda
Galbada,Thihagoda
Naimbala 2,Thihagoda
Bandattara 2,Thihagoda
Watagedara East,Thihagoda
Attudawa,Thihagoda
Attudawa West,Thihagoda
Watagedara,Thihagoda
Nadugala 2,Thihagoda
Nadugala 1,Thihagoda
Bandattara 1,Thihagoda
Elambathalagoda,Thihagoda
Palatuwa,Thihagoda
Unella,Thihagoda
Dematahettigoda,Thihagoda
Midigama North,Weligama
Pathegama,Weligama
Moodugamuwa West,Weligama
Moodugamuwa East,Weligama
Kohunugamuwa,Weligama
Walana,Weligama
Wekada,Weligama
Denuwala,Weligama
Midigama West,Weligama
Midigama East,Weligama
Hetti  Weediya,Weligama
New Street,Weligama
Polwatta,Weligama
Nidangala,Weligama
Kotavila West,Weligama
Kotavila North,Weligama
Kamburugamuwa North,Weligama
Kotavila South,Weligama
Henwala East,Weligama
Polwathumodara,Weligama
Pelena North,Weligama
Pelena West,Weligama
Galbokka East,Weligama
Galbokka West,Weligama
Paranakade,Weligama
Walliwala East,Weligama
Pitidoowa,Weligama
Gurubebila,Weligama
Walliwala West,Weligama
Walliwala South,Weligama
Maha Weediya,Weligama
Pelena South,Weligama
Henwala West,Weligama
Garanduwa,Weligama
Mirissa Udumulla,Weligama
Mirissa Udupila,Weligama
Mirissa North,Weligama
Mirissa South 2,Weligama
Kapparathota South,Weligama
Kapparathota North,Weligama
Mirissa South 1,Weligama
Bandaramulla,Weligama
Thal Aramba North,Weligama
Thudella,Weligama
Kamburugamuwa South,Weligama
Kamburugamuwa West,Weligama
Thal Aramba East,Weligama
Thal Aramba South,Weligama
Aluthweediya,Weligama
Diyagaha East,Four Gravets
Kekanadura East,Four Gravets
Kokawala,Four Gravets
Parawahara East,Four Gravets
Parawahera North,Four Gravets
Kekanadura North,Four Gravets
Kekanadura Central,Four Gravets
Deeyagaha West,Four Gravets
Navimana North,Four Gravets
Pahalagoda,Four Gravets
Navimana South,Four Gravets
Thudawa East,Four Gravets
Thudawa North,Four Gravets
Thudawa South,Four Gravets
Sudarshi Place,Four Gravets
Hittatiya East,Four Gravets
Hittatiya Meda,Four Gravets
Godagama,Four Gravets
Eduwa - Madurudoowa,Four Gravets
Kanattagoda North,Four Gravets
Wewahamandoowa,Four Gravets
Hittatiya West,Four Gravets
Isadeen Town,Four Gravets
Weliweriya West,Four Gravets
Weliweriya East,Four Gravets
Walpala,Four Gravets
Weragampita,Four Gravets
Ruwan Ella,Four Gravets
Kekanadura West,Four Gravets
Kakanadura South,Four Gravets
Parawahera South,Four Gravets
Thalpavila North,Four Gravets
Nakuttiya,Four Gravets
Veherahena,Four Gravets
Makavita,Four Gravets
Weradoowa,Four Gravets
Uyanwatta,Four Gravets
Uyanwatta North,Four Gravets
Kadeweediya East,Four Gravets
Kadeweediya West,Four Gravets
Welegoda East,Four Gravets
Welegoda West,Four Gravets
Mathotagama,Four Gravets
Walgama North,Four Gravets
Kanattagoda South,Four Gravets
Madiha West,Four Gravets
Walgama,Four Gravets
Walgama Meda,Four Gravets
Walgama South,Four Gravets
Madiha East,Four Gravets
Polhena,Four Gravets
Pamburana,Four Gravets
Noope,Four Gravets
Kadeweediya South,Four Gravets
Thotamuna,Four Gravets
Fort,Four Gravets
Kotuwegoda North,Four Gravets
Eliyakanda North,Four Gravets
Meddawatta,Four Gravets
Rassanadeniya,Four Gravets
Wewa Ihalagoda,Four Gravets
Thalpavila South,Four Gravets
Gandarawatta South,Four Gravets
Meddawatta South,Four Gravets
Eliyakanda South,Four Gravets
Kotuwegoda South,Four Gravets
Kadawedduwa West,Devinuwara
Kadawedduwa East,Devinuwara
Walbulugahahena,Devinuwara
Aparekka North,Devinuwara
Uda Aperakka East,Devinuwara
Uda Aparekka,Devinuwara
Palle Aparekka,Devinuwara
Agarawala,Devinuwara
Beddegammedda,Devinuwara
Pathegama East,Devinuwara
Pathegama North,Devinuwara
Naotunna,Devinuwara
Naotunna North,Devinuwara
Thalalla North,Devinuwara
Thalalla East,Devinuwara
Thalalla South,Devinuwara
Naotunna Central,Devinuwara
Naotunna South,Devinuwara
Thalalla Central,Devinuwara
Delgalla,Devinuwara
Kapugama North,Devinuwara
Kapugama West,Devinuwara
Gandarawaththa Kotasak,Devinuwara
Kapugama Central,Devinuwara
Kapugama East,Devinuwara
Gandara East,Devinuwara
Thalalla,Devinuwara
Gandara South,Devinuwara
Gandara Central,Devinuwara
Gandara West,Devinuwara
Devinuwara North,Devinuwara
Devinuwara Central,Devinuwara
Devinuwara Nugegoda,Devinuwara
Devinuwara West,Devinuwara
Devinuwara East,Devinuwara
Devinuwara Wawwa,Devinuwara
Devinuwara Light House Place,Devinuwara
Devinuwara,Devinuwara
