name,moh_area
Nawamorape,Kothmale
Nawa Kadadora,Kothmale
Delta Gemunupura,Kothmale
Helboda,Kothmale
Karagasthalawa,Kothmale
Protoft,Kothmale
Ramboda,Kothmale
Sangilipalama,Kothmale
Panamgammana,Kothmale
Katukithula,Kothmale
Helsirigama,Kothmale
Kothmalgama,Kothmale
Raja Ela,Kothmale
Mawela East,Kothmale
Mawela West,Kothmale
Maswela,Kothmale
Mawela Kanda,Kothmale
Gomburuoya,Kothmale
Wewahinna,Kothmale
Delunthalamada,Kothmale
Ambathalawa,Kothmale
Malhewa,Kothmale
Rambodagama,Kothmale
Wedamulla,Kothmale
Palagolla,Kothmale
Niyamgamdora,Kothmale
Kiridiwela,Kothmale
Kumbaloluwa,Kothmale
Medakanda,Kothmale
Egodawela,Kothmale
Pundaluoya North,Kothmale
Labukele,Kothmale
Kudaoya,Kothmale
Saman Eliya,Kothmale
Kikiliyamana,Kothmale
Dansinan,Kothmale
Sheen,Kothmale
Sheengama,Kothmale
Pundaluoya South,Kothmale
Kadadorapitiya,Kothmale
Kosgaha Pathana,Kothmale
Karagahayatathenna,Kothmale
Bogahawela,Kothmale
Halpola,Kothmale
Madakumbura,Kothmale
Dunukedeniya,Kothmale
Medakumbura North,Kothmale
Ranwanthalawa,Kothmale (West)
Kadadora,Kothmale (West)
Kotagepitiya South,Kothmale (West)
Kotagepitiya North,Kothmale (West)
Nayapana,Kothmale (West)
Hapugasthalawa,Kothmale (West)
Doruwadeniya,Kothmale (West)
Kolapathana,Kothmale (West)
Ruwanpura,Kothmale (West)
Dambagolla,Kothmale (West)
Kaludemada,Kothmale (West)
Mallanda,Kothmale (West)
Kataboola,Kothmale (West)
Hunugalloya,Kothmale (West)
Thelissagala,Kothmale (West)
Ihala Gorakaoya,Kothmale (West)
Polwathura,Kothmale (West)
Pahala Gorakaoya,Kothmale (West)
Queensberry,Kothmale (West)
Harangala,Kothmale (West)
Harangala South,Kothmale (West)
Kirimetiyawa,Kothmale (West)
