name,moh_area
Sinhagama,Hingurakgoda
Galoya,Hingurakgoda
Rotawewa,Hingurakgoda
Rathmale,Hingurakgoda
Paluwaddana,Hingurakgoda
Yodha Ela,Hingurakgoda
Yatiyalpathana,Hingurakgoda
Rankothgama,Hingurakgoda
Siriketha,Hingurakgoda
Kumaragama,Hingurakgoda
Samapura,Hingurakgoda
Kimbulawala,Hingurakgoda
Ulpathwewa,Hingurakgoda
Minihirigama,Hingurakgoda
Moragaswewa,Hingurakgoda
Mahasengama,Hingurakgoda
Bathgampaththuwa,Hingurakgoda
Samagipura,Hingurakgoda
Minneriya,Hingurakgoda
Pasiyawewa,Hingurakgoda
Akkara 70,Hingurakgoda
R.B. 01,Hingurakgoda
Pulathisigama,Hingurakgoda
Ulkatupotha,Hingurakgoda
Bopura,Hingurakgoda
Jayapura,Hingurakgoda
Hinguraka Bandaragama,Hingurakgoda
Hinguraka,Hingurakgoda
Hathamuna,Hingurakgoda
Hingurakgoda,Hingurakgoda
Bubula,Hingurakgoda
Raja Ela,Hingurakgoda
Raja Ela Gama,Hingurakgoda
Muwanpelessa,Hingurakgoda
C.P. Pura,Hingurakgoda
Girithale,Hingurakgoda
Girithale Purangama,Hingurakgoda
Girithale Colony,Hingurakgoda
Henkola Wela,Hingurakgoda
Jayanthipura,Hingurakgoda
Unagalavehera West,Hingurakgoda
Unagalavehera East,Hingurakgoda
Chandana Pokuna,Hingurakgoda
Nagapokuna,Hingurakgoda
Track 12 Pedesa,Hingurakgoda
Chethiyagirigama,Hingurakgoda
Weeragama,Hingurakgoda
Track  05  Pedesa,Hingurakgoda
Wijayaraja Wewa,Hingurakgoda
Agbopura,Hingurakgoda
Katukaliyawa,Hingurakgoda
Sudukanda - Nikawewa,Hingurakgoda
Thambalawewa,Hingurakgoda
Wedikachchiya,Medirigiriya
Jayathugama,Medirigiriya
Ekemuthugama,Medirigiriya
Meegaswawe,Medirigiriya
Palliyagodella,Medirigiriya
Wadigawewa,Medirigiriya
Senarathpura,Medirigiriya
Etambaoya,Medirigiriya
Kavuduluwewa,Medirigiriya
Menik Horowwa,Medirigiriya
Biso Bandara,Medirigiriya
Thissapura,Medirigiriya
Abhayapuragama,Medirigiriya
New Town,Medirigiriya
Diggalpura,Medirigiriya
Wedehapura,Medirigiriya
Bisobandara Gama,Medirigiriya
Ambagaswewa,Medirigiriya
Jayagampura,Medirigiriya
Nagarapura,Medirigiriya
Kumudupura,Medirigiriya
Damsopura,Medirigiriya
Aluthwewa,Medirigiriya
Thalakolawewa,Medirigiriya
Ihalagama,Medirigiriya
Wijayapura,Medirigiriya
Bisouyana,Medirigiriya
Diyasenpura,Medirigiriya
Gajabapura,Medirigiriya
Kavudulugama,Medirigiriya
Mandalagiriya,Medirigiriya
Medirigiriya,Medirigiriya
Viharagama,Medirigiriya
Divulankadawala,Medirigiriya
Nelumpokuna,Medirigiriya
Thissa Amuna,Medirigiriya
Kusumpokuna,Medirigiriya
Wijayarajapura,Medirigiriya
Perakumpura,Medirigiriya
Kahambiliyawa,Medirigiriya
Akbarpura,Medirigiriya
Sansungama,Medirigiriya
Veheragala,Medirigiriya
Mahasenpura,Medirigiriya
Yudhaganawa,Medirigiriya
Weli Ela,Lankapura
Maha Kirimetiya,Lankapura
Buddhayaya,Lankapura
Sungavila,Lankapura
Jayabima,Lankapura
Jayapura,Lankapura
Nelumpura,Lankapura
Patunugama,Lankapura
Munisirigama,Lankapura
Pansalgodella,Lankapura
Gal Amuna,Lankapura
Hingurakdamana,Lankapura
Gemunupura,Lankapura
Senanayakapura,Lankapura
Debarella,Lankapura
Somapura,Lankapura
Abhayapura,Lankapura
Sanghabodhi Gama,Lankapura
Pulasthigama,Lankapura
Kegalugama,Lankapura
Thalpotha,Lankapura
Bauddhartha Gama,Lankapura
Lankapura,Lankapura
Rifaipura,Lankapura
Al Hilalpura,Lankapura
Thambala,Lankapura
Onegama Muslimgama,Lankapura
Weerapura,Lankapura
Sinhapura,Welikanda
Kandakaduwa,Welikanda
Katuwanvila West,Welikanda
Katuwanvila East,Welikanda
Kudapokuna,Welikanda
Muthuwella,Welikanda
Mahindagama,Welikanda
Mangulpokuna,Welikanda
Ruhunuketha,Welikanda
