name,moh_area
Datchbay,Kalpitiya
Palliyawatta,Kalpitiya
Anawasala,Kalpitiya
Sinnakudieruppu,Kalpitiya
Vanni Mundalama,Kalpitiya
Mandalakuda,Kalpitiya
Periyakudieruppu,Kalpitiya
Pudukudirippuwa,Kalpitiya
Kandakuli Kudawa,Kalpitiya
Kurinjipitiya North,Kalpitiya
Kurinjipitiya South,Kalpitiya
Kandakuli,Kalpitiya
Palliwasalthurai,Kalpitiya
Musalpiti,Kalpitiya
Mudalappali,Kalpitiya
Thalavila East,Kalpitiya
Thalavila West,Kalpitiya
Palakkuda,Kalpitiya
Thigali,Kalpitiya
Eatale,Kalpitiya
Andankeny,Kalpitiya
Alankuda,Kalpitiya
Nuraichcholai,Kalpitiya
Panayadi,Kalpitiya
Narakkalli,Kalpitiya
Mampuri,Kalpitiya
Nawatkadu,Kalpitiya
Nirmalapura,Kalpitiya
Daluwa,Kalpitiya
Thethapola,Kalpitiya
Karambe,Kalpitiya
Pukkulama,Vanathavilluwa
Ralmaduwa,Vanathavilluwa
Old  Eluwankulam,Vanathavilluwa
Aluth Eluwankulama,Vanathavilluwa
Serakkuliya,Vanathavilluwa
Karathivu North,Vanathavilluwa
Karathivu South,Vanathavilluwa
Mangalapura,Vanathavilluwa
Bandaranayakapura,Vanathavilluwa
Wanathawilluwa North,Vanathavilluwa
Vanathawilluwa South,Vanathavilluwa
Wijayapura West,Vanathavilluwa
Wijayapura East,Vanathavilluwa
Karadipuwal,Vanathavilluwa
Samagipura,Vanathavilluwa
Vattakandal,Vanathavilluwa
Mailankulama,Vanathavilluwa
Pahala Puliyankulama,Karuwalagaswewa
Moonamalgaswewa,Karuwalagaswewa
Saliyawewa,Karuwalagaswewa
Ranawarapitiya,Karuwalagaswewa
Saliyawewa - C,Karuwalagaswewa
Saliyawewa - B,Karuwalagaswewa
Palugassegama,Karuwalagaswewa
Ihala Puliyankulama,Karuwalagaswewa
Thambapanniya,Karuwalagaswewa
Medagama,Karuwalagaswewa
Aluthgama,Karuwalagaswewa
Weerapura,Karuwalagaswewa
Dangaswewa,Karuwalagaswewa
Ipalogama,Karuwalagaswewa
Kumbukwewa,Karuwalagaswewa
Rambawewa,Karuwalagaswewa
Pahariya,Karuwalagaswewa
Murukkuwatawana,Karuwalagaswewa
Thabbowa South,Karuwalagaswewa
Thabbowa North,Karuwalagaswewa
Thewanuwara,Karuwalagaswewa
Pawattamaduwa,Karuwalagaswewa
Karuwalagaswewa,Karuwalagaswewa
Kuda Medawachchiya,Karuwalagaswewa
Neliwewa (Paleegama),Karuwalagaswewa
Egodapitiya,Karuwalagaswewa
Mahameddewa,Nawagattegama
Moragahawewa,Nawagattegama
Maha Andarawewa,Nawagattegama
Kirimetiyawa,Nawagattegama
Miyellewa,Nawagattegama
Thammennawetiya,Nawagattegama
Samurdhigama,Nawagattegama
Amunuwewa,Nawagattegama
Kuruluwewa,Nawagattegama
Tharanagahawewa,Nawagattegama
Kelewewa,Nawagattegama
Welewewa North,Nawagattegama
Mullegama,Nawagattegama
Welewewa South,Nawagattegama
Gedarawewa,Nawagattegama
Rambakanayagama,Nawagattegama
Inginimitiya East,Nawagattegama
Inginimitiya West,Nawagattegama
Konkadawala,Nawagattegama
Manalthivu,Puttalam
Sirambiadiya,Puttalam
Sella Kandal,Puttalam
Nelumwewa,Puttalam
Marikkar Street,Puttalam
Mullipuram,Puttalam
Pudukudiruppuwa,Puttalam
Puttalam East,Puttalam
Chenaikudirippuwa,Puttalam
Thilladiya,Puttalam
Puttalam South,Puttalam
Old Jumma Mosque,Puttalam
Puttalam North,Puttalam
Periyapalli Kudiruppuwa,Puttalam
Rathmalyaya,Puttalam
Thammannagama,Puttalam
Kalladiya,Puttalam
Bodhirajapura,Puttalam
Attavilluwa,Puttalam
Palavi,Puttalam
Pottuvilluwa,Puttalam
Attavilluwa Central,Puttalam
Puladiviyal,Mundalama
Viruthodai,Mundalama
Weerapura,Mundalama
Welusumanapura,Mundalama
Madurankuli,Mundalama
Kanamoolai North,Mundalama
Kadayamottai,Mundalama
Nallandaluwa,Mundalama
Palasola,Mundalama
Mukkuthoduwawa,Mundalama
Kandathoduwawa,Mundalama
Kanamoolai  South,Mundalama
Pubudugama,Mundalama
Sameeragama,Mundalama
Palli Wasalpaduwa,Mundalama
Perukkuwattan,Mundalama
Kottantheevu,Mundalama
Mangalaeliya,Mundalama
Nawadankulama,Mundalama
Mundalama,Mundalama
Kudieruppu,Mundalama
Kattaikadu,Mundalama
Sinnapadu,Mundalama
Poonapiti,Mundalama
Andimunai,Mundalama
Udappuwa,Mundalama
Udappuwa,Mundalama
Pulichchakulama,Mundalama
Karathanvilluwa,Mundalama
Tharakudivilluwa,Mundalama
Angunavila,Mundalama
Kivula No. 4-2,Mahakumbukkadawala
Dangahawala,Mahakumbukkadawala
Kivula No. 4-1,Mahakumbukkadawala
Kivula Youth Project,Mahakumbukkadawala
Kivula No. 1,Mahakumbukkadawala
Kivulagoda Govi Janapadaya,Mahakumbukkadawala
Rathmalgaswewa,Mahakumbukkadawala
Dangaswewa,Mahakumbukkadawala
Kawayankulama,Mahakumbukkadawala
Jayarajapura,Mahakumbukkadawala
Karuwalabedda,Mahakumbukkadawala
Maha Kumbukkadawala,Mahakumbukkadawala
Sembukuliya,Mahakumbukkadawala
Walpaluwa,Mahakumbukkadawala
Kakupandiyawa,Mahakumbukkadawala
Punavitiya,Mahakumbukkadawala
Garayakgama,Mahakumbukkadawala
Daluwegama,Mahakumbukkadawala
Mohoriya,Mahakumbukkadawala
Baranankattuwa,Mahakumbukkadawala
Karungalichole,Mahakumbukkadawala
Mahasembukuliya,Mahakumbukkadawala
Galkuliya West,Mahakumbukkadawala
Galkuliya East,Mahakumbukkadawala
Adigama,Mahakumbukkadawala
Kottukachchiya Colony 2,Anamaduwa
Kottukachchiya Colony 1,Anamaduwa
Mellankulama,Anamaduwa
Kottukachchiya,Anamaduwa
Paliyagama,Anamaduwa
Uriyawa,Anamaduwa
Koiladigama,Anamaduwa
07 Gammanaya,Anamaduwa
Maha Uswewa South,Anamaduwa
Maha Uswewa North,Anamaduwa
Alankulam,Anamaduwa
Merungoda,Anamaduwa
Labugala,Anamaduwa
Karambewa,Anamaduwa
Thalgaswewa,Anamaduwa
Periyakulama,Anamaduwa
Paramakandagama,Anamaduwa
Thonigala,Anamaduwa
Wadatta,Anamaduwa
Viharagama,Anamaduwa
Siyabalagashena,Anamaduwa
Thattewa,Anamaduwa
Thanmmennagama,Anamaduwa
Bammannegama,Anamaduwa
Kothalakemiyawa,Anamaduwa
Gallewa,Anamaduwa
Thalakolawewa,Anamaduwa
Anamaduwa,Anamaduwa
Peramakuttuwa,Anamaduwa
Divulwewa,Anamaduwa
Wadigamangawa,Anamaduwa
Dharmapalaya,Anamaduwa
Uppalawatta,Anamaduwa
Sangattikulama,Anamaduwa
Mudalakkuliya,Anamaduwa
Dewala Handiya,Pallama
Wilpatha East,Pallama
Siyambalagaswewa,Pallama
Nagavila,Pallama
Periyamaduwa,Pallama
Kammandaluwa,Pallama
Wilpotha West,Pallama
Thamarakkulama,Pallama
Serukele,Pallama
Katupotha,Pallama
Madawakkulam,Pallama
Watiya,Pallama
Nandimithtrapuram,Pallama
