name,moh_area
Divurumpitiya,Eheliyagoda
Hewainna,Eheliyagoda
Kalatuwawa East,Eheliyagoda
Getahetta,Eheliyagoda
Walavita,Eheliyagoda
Meennana,Eheliyagoda
Bopetta Didda,Eheliyagoda
Thoranakada,Eheliyagoda
Ganegoda,Eheliyagoda
Iddamalgoda,Eheliyagoda
Huladduwa,Eheliyagoda
Kalatuwawa West,Eheliyagoda
Uduwaka,Eheliyagoda
Napawala,Eheliyagoda
Pelpitiya,Eheliyagoda
Udumatta,Eheliyagoda
Vilegoda,Eheliyagoda
Vilegoda East,Eheliyagoda
Eheliyagoda Watta,Eheliyagoda
Asgangula North,Eheliyagoda
Kendagamuwa Ihalagama,Eheliyagoda
Moragala,Eheliyagoda
Bulugahapitiya,Eheliyagoda
Yakudagoda,Eheliyagoda
Kandangamuwa,Eheliyagoda
Asgangula South,Eheliyagoda
Mahara,Eheliyagoda
Mahingoda,Eheliyagoda
Nakandala,Eheliyagoda
Viyalagoda,Eheliyagoda
Kendangamuwa Pahalagama,Eheliyagoda
Paligala,Eheliyagoda
Miyanakolathenna,Eheliyagoda
Mitipola,Eheliyagoda
Mapota,Eheliyagoda
Karandana North,Eheliyagoda
Kiriporuwa,Eheliyagoda
Nedurana,Eheliyagoda
Erepola,Eheliyagoda
Sirisamanpura,Eheliyagoda
Nugadanda,Eheliyagoda
Karandana West,Eheliyagoda
Karandana South,Eheliyagoda
Hindurangala,Eheliyagoda
Amuhenkanda,Kuruvita
Pathberiya West,Kuruvita
Pathberiya,Kuruvita
Meneripitiya,Kuruvita
Parakaduwa,Kuruvita
Bodhimaluwa,Kuruvita
Thalavitiya,Kuruvita
Pohorabawa,Kuruvita
Pussella,Kuruvita
Devipahala,Kuruvita
Endiriyanwala,Kuruvita
Erathna,Kuruvita
Adavikanda,Kuruvita
Lassakanda,Kuruvita
Sudugala,Kuruvita
Ekneligoda North,Kuruvita
Keeragala,Kuruvita
Kandangoda,Kuruvita
Millavitiya,Kuruvita
Miyanadeniya,Kuruvita
Ovitigama,Kuruvita
Theppanawa,Kuruvita
Theppanawa Ihalagama,Kuruvita
Pahala Kuruvita,Kuruvita
Kandangoda South,Kuruvita
Wathuyaya,Kuruvita
Udakada,Kuruvita
Ekneligoda,Kuruvita
Delgamuwa,Kuruvita
Kuruvita,Kuruvita
Walandura,Kuruvita
Nadukaradeniya,Kuruvita
Kahengama,Kuruvita
Pathagama,Kuruvita
Theppanawa Pahalagama,Kuruvita
Kithulpe,Kuruvita
Kahengama West,Kuruvita
Kosgoda,Kuruvita
Galukagama,Kuruvita
Ellawala,Kiriella
Deheragoda,Kiriella
Kanuggalla,Kiriella
Ellawala Pahalagama,Kiriella
Mudunkotuwa,Kiriella
Akurana,Kiriella
Kiriella,Kiriella
Handukanda,Kiriella
Epitawala,Kiriella
Munasinghepura,Kiriella
Yatipawwa,Kiriella
Ellagawa,Kiriella
Idangoda,Kiriella
Matuwagala,Kiriella
Dodampe West,Kiriella
Dodampe,Kiriella
Holeepitiya,Kiriella
Gileemale North,Ratnapura
Ketawala,Ratnapura
Guruluwana,Ratnapura
Siripagama,Ratnapura
Sri Palabaddala,Ratnapura
Mapalana,Ratnapura
Kudawa,Ratnapura
Dehenakanda,Ratnapura
Bambarabotuwa,Ratnapura
Alupola,Ratnapura
Balakotunna,Ratnapura
Hapugasthenna,Ratnapura
Rathgama,Ratnapura
Gileemale South,Ratnapura
Pagoda,Ratnapura
Embuldeniya,Ratnapura
Malangama,Ratnapura
Amuthagoda,Ratnapura
Kahangama,Ratnapura
Ketaliyampalla,Ratnapura
New Town,Ratnapura
Ellegedara,Ratnapura
Malwala,Ratnapura
Durekkanda,Ratnapura
Galabada,Ratnapura
Gallella,Ratnapura
Amunutenna,Ratnapura
Kempanawatta,Ratnapura
Gurubevilagama,Ratnapura
Batewela,Ratnapura
Hettikanda,Ratnapura
Banagoda,Ratnapura
Heenberenduwa,Ratnapura
Egoda Malwala,Ratnapura
Meehitiya,Ratnapura
Kospelavinna,Ratnapura
Weralupa,Ratnapura
Dewalaya Gawa,Ratnapura
Muwagama,Ratnapura
Ratnapura Town West,Ratnapura
Ratnapura Town North,Ratnapura
Mihindugama,Ratnapura
Mahawala,Ratnapura
Godigamuwa,Ratnapura
Ratnapura Town,Ratnapura
