name,moh_area
Unchalkaddy,Vavuniya North
Vedivaithakallu,Vavuniya North
Maruthodai,Vavuniya North
Paddikudiyiruppu,Vavuniya North
Katkulam,Vavuniya North
Nedunkerny South,Vavuniya North
Nedunkerny North,Vavuniya North
Olumadu,Vavuniya North
Mamadu,Vavuniya North
Kulavisuddan,Vavuniya North
Maraillupai,Vavuniya North
Paranthan,Vavuniya North
Anantha Puliyakulam,Vavuniya North
Sinnadampan,Vavuniya North
Nainamadu,Vavuniya North
Puliyankulam South,Vavuniya North
Puliyankulam North,Vavuniya North
Kanakarayankulam South,Vavuniya North
Kanakarayankulam North,Vavuniya North
Mannakulam,Vavuniya North
Periya Ulukkulama,Vavuniya South
Poomaduwa,Vavuniya South
Rankethgama,Vavuniya South
Maruthammaduwa,Vavuniya South
Track 7,Vavuniya South
Awaranthulawa,Vavuniya South
"Acre 20, 40, 60",Vavuniya South
Acre 400,Vavuniya South
Madukanda,Vavuniya South
Eramperiyakulama,Vavuniya South
Alagalla,Vavuniya South
Avusadapitiya,Vavuniya South
Kalukunnamaduwa,Vavuniya South
Nedunkulama,Vavuniya South
Mahamailankulama,Vavuniya South
Mamaduwa,Vavuniya South
Mahakachchakodiya,Vavuniya South
Pudubulankulama,Vavuniya South
Pirappamaduwa,Vavuniya South
Agbopura,Vavuniya South
Palamoddai,Vavuniya
Maruthamadu,Vavuniya
Panrikeythakulam,Vavuniya
Arumugaththanputhukkulam,Vavuniya
Semamadu,Vavuniya
Maligai,Vavuniya
Mahilankulam,Vavuniya
Maruthankulam,Vavuniya
Elamaruthankulam,Vavuniya
Kallikkulam,Vavuniya
Nochchimoddai,Vavuniya
Paranaddakal,Vavuniya
Puthukkulam,Vavuniya
Marekkarampalai,Vavuniya
Thandikulam,Vavuniya
Maharambaikkulam,Vavuniya
Kaththarsinnakulam,Vavuniya
Nelukkulam,Vavuniya
Pattanichchoor Puliyankulam,Vavuniya
Vavuniya Town,Vavuniya
Omanthai,Vavuniya
Salambaikkulam,Vavuniya
Sasthirikoolankulam,Vavuniya
Echchankulam,Vavuniya
Kalmadu,Vavuniya
Poovarasankulam,Vavuniya
Sekkadipulavu,Vavuniya
Pambaimadu,Vavuniya
Rajendrankulam,Vavuniya
Koomankulam,Vavuniya
Kovilkulam,Vavuniya
Velikkulam,Vavuniya
Moonrumurippu,Vavuniya
Kandapuram,Vavuniya
Thonikkal,Vavuniya
Samalankulam,Vavuniya
Asikulam,Vavuniya
Rambaikulam,Vavuniya
Vairavapuliyankulam,Vavuniya
Pandarikulam,Vavuniya
Vavuniya Town North,Vavuniya
Velankulam,Vavuniya
Andiyapuliyankulam,Vengalacheddikulam
Periyathampanai,Vengalacheddikulam
Periyakaddu,Vengalacheddikulam
Kannaddy,Vengalacheddikulam
Piramanalankulam,Vengalacheddikulam
Sooduventhapulavu,Vengalacheddikulam
Kurukkalputhukkulam,Vengalacheddikulam
Kanthasamy Nagar,Vengalacheddikulam
Unit 05 / 06 Pavatkulam,Vengalacheddikulam
Pavatkulam Unit - 04,Vengalacheddikulam
Pavatkulam Unit - 02,Vengalacheddikulam
Muthaliyarkulam,Vengalacheddikulam
Sinnasippikulam,Vengalacheddikulam
Neriyakulam,Vengalacheddikulam
Periyapuliyalankulam,Vengalacheddikulam
Cheddikulam,Vengalacheddikulam
Mugaththankulam,Vengalacheddikulam
Pavatkulam Unit 09 & 10,Vengalacheddikulam
Kiristhavakulam,Vengalacheddikulam
Kangankulam,Vengalacheddikulam
